ticker,company_name,kpi_name,kpi_id,kpi_category
GES,GUESS INC,Revenue by Geographic area - Germany,83,Revenue by Geographic area
GES,GUESS INC,Revenue by Geographic area - Italy,84,Revenue by Geographic area
GES,GUESS INC,Revenue by Geographic area - Other foreign countries,85,Revenue by Geographic area
GES,GUESS INC,Revenue by Geographic area - South Korea,86,Revenue by Geographic area
GES,GUESS INC,Revenue by Geographic area - Spain,87,Revenue by Geographic area
GES,GUESS INC,Revenue by Geographic area - U.S.,88,Revenue by Geographic area
GES,GUESS INC,Revenue by Product - Net royalties ,89,Revenue by Product
GES,GUESS INC,Revenue by Product - Product sales,90,Revenue by Product
GES,GUESS INC,Segment Revenue - Americas Retail,91,Segment Revenue
GES,GUESS INC,Segment Revenue - Americas Retail comp sales,92,Segment Revenue
GES,GUESS INC,Segment Revenue - Americas Retail comp sales,92,Segment Revenue
GES,GUESS INC,Segment Revenue - Americas Wholesale,93,Segment Revenue
GES,GUESS INC,Segment Revenue - Americas Wholesale,93,Segment Revenue
GES,GUESS INC,Segment Revenue - Asia,94,Segment Revenue
GES,GUESS INC,Segment Revenue - Asia Retail comp sales,95,Segment Revenue
GES,GUESS INC,Segment Revenue - Asia Retail comp sales,95,Segment Revenue
GES,GUESS INC,Segment Revenue - Europe,96,Segment Revenue
GES,GUESS INC,Segment Revenue - Europe Retail comp sales,97,Segment Revenue
GES,GUESS INC,Segment Revenue - Europe Retail comp sales,97,Segment Revenue
GES,GUESS INC,Segment Revenue - Licensing,98,Segment Revenue
GES,GUESS INC,Segment Revenue - Licensing,98,Segment Revenue
GPS,"THE GAP, INC.",Sales by Brand - Athleta Sales,99,Sales by Brand
GPS,"THE GAP, INC.",Sales by Brand - Banana Republic Global Sales,100,Sales by Brand
GPS,"THE GAP, INC.",Sales by Brand - Gap Global,101,Sales by Brand
GPS,"THE GAP, INC.",Sales by Brand - Gap Global Sales,102,Sales by Brand
GPS,"THE GAP, INC.",Sales by Brand - Old Navy Global,103,Sales by Brand
GPS,"THE GAP, INC.",Sales by Brand - Old Navy Global Sales,104,Sales by Brand
GPS,"THE GAP, INC.",Sales by Brand - Other Sales,105,Sales by Brand
GPS,"THE GAP, INC.",Sales by Brand - Total net sales,106,Sales by Brand
GPS,"THE GAP, INC.",Sales by Geographic Region - Asia Sales,107,Sales by Geographic Region
GPS,"THE GAP, INC.",Sales by Geographic Region - Canada Sales,108,Sales by Geographic Region
GPS,"THE GAP, INC.",Sales by Geographic Region - Europe Sales,109,Sales by Geographic Region
GPS,"THE GAP, INC.",Sales by Geographic Region - Other Regions Sales,110,Sales by Geographic Region
GPS,"THE GAP, INC.",Sales by Geographic Region - Total net sales,111,Sales by Geographic Region
GPS,"THE GAP, INC.",Sales by Geographic Region - total sales ,112,Sales by Geographic Region
GPS,"THE GAP, INC.",Sales by Geographic Region - U.S. Sales,113,Sales by Geographic Region
GPS,"THE GAP, INC.",Segment Sales - Online sales,114,Segment Sales
GPS,"THE GAP, INC.",Segment Sales - Store sales,115,Segment Sales
GPS,"THE GAP, INC.",Segment Sales - Total net sales,116,Segment Sales
JWN,"NORDSTROM, INC.",Revenues by Category - Credit card revenues,117,Revenues by Category
JWN,"NORDSTROM, INC.",Sales - Anniversary Event Sales,118,Sales
JWN,"NORDSTROM, INC.",Sales - Digital Sales,119,Sales
JWN,"NORDSTROM, INC.",Segment Revenue - Nordstrom Rack Sales,120,Segment Revenue
JWN,"NORDSTROM, INC.",Segment Revenue - Nordstrom Sales,121,Segment Revenue
LEVI,Levi Strauss & Co.,Geographic revenues - Americas,122,Geographic revenues
LEVI,Levi Strauss & Co.,Geographic revenues - Asia,123,Geographic revenues
LEVI,Levi Strauss & Co.,Geographic revenues - Europe,124,Geographic revenues
LEVI,Levi Strauss & Co.,Segment Revenue by Channel - Direct-to-consumer from Americas,125,Segment Revenue by Channel
LEVI,Levi Strauss & Co.,Segment Revenue by Channel - Direct-to-consumer from Asia,126,Segment Revenue by Channel
LEVI,Levi Strauss & Co.,Segment Revenue by Channel - Direct-to-consumer from Europe,127,Segment Revenue by Channel
LEVI,Levi Strauss & Co.,Segment Revenue by Channel - Wholesale revenue from Americas,128,Segment Revenue by Channel
LEVI,Levi Strauss & Co.,Segment Revenue by Channel - Wholesale revenue from Asia,129,Segment Revenue by Channel
LEVI,Levi Strauss & Co.,Segment Revenue by Channel - Wholesale revenue from Europe,130,Segment Revenue by Channel
PLBY,PLBY Group Inc,Revenue by Segment - Digital Subscription and Content,131,Revenue by Segment
PLBY,PLBY Group Inc,Revenue by Segment - Direct-to-Consumer,132,Revenue by Segment
PLBY,PLBY Group Inc,Revenue by Segment - Licensing,133,Revenue by Segment
PLBY,PLBY Group Inc,Revenue by Segment - Other,134,Revenue by Segment
PLBY,PLBY Group Inc,Revenue by Type - Consumer Products,135,Revenue by Type
PLBY,PLBY Group Inc,Revenue by Type - Magazine and Digital Subscriptions,136,Revenue by Type
PLBY,PLBY Group Inc,Revenue by Type - Trademark Licensing,137,Revenue by Type
PLBY,PLBY Group Inc,Revenue by Type - TV and Cable Programming,138,Revenue by Type
PLCE,"THE CHILDREN'S PLACE, INC.",Geographic Revenue - International & Other Sales,139,Geographic Revenue
PLCE,"THE CHILDREN'S PLACE, INC.",Geographic Revenue - Mid-West Sales,140,Geographic Revenue
PLCE,"THE CHILDREN'S PLACE, INC.",Geographic Revenue - North East Sales,141,Geographic Revenue
PLCE,"THE CHILDREN'S PLACE, INC.",Geographic Revenue - South Sales,142,Geographic Revenue
PLCE,"THE CHILDREN'S PLACE, INC.",Geographic Revenue - West Sales,143,Geographic Revenue
PLCE,"THE CHILDREN'S PLACE, INC.",Segment Revenue - The Children's Place International,144,Segment Revenue
PLCE,"THE CHILDREN'S PLACE, INC.",Segment Revenue - The Children's Place U.S.,145,Segment Revenue
PLCE,"THE CHILDREN'S PLACE, INC.",Stores - Closed store count,146,Stores
PLCE,"THE CHILDREN'S PLACE, INC.",Stores - Total store count,147,Stores
ROST,Ross Stores Inc,"sales mix - Accessories, Lingerie, Fine Jewelry, and Fragrances",148,sales mix
ROST,Ross Stores Inc,sales mix - Children's,149,sales mix
ROST,Ross Stores Inc,sales mix - Home Accents and Bed and Bath,150,sales mix
ROST,Ross Stores Inc,sales mix - Ladies,151,sales mix
ROST,Ross Stores Inc,sales mix - Men's,152,sales mix
ROST,Ross Stores Inc,sales mix - Shoes,153,sales mix
ROST,Ross Stores Inc,Store Count - Beginning of the period,154,Store Count
ROST,Ross Stores Inc,Store Count - Closed in the period,155,Store Count
ROST,Ross Stores Inc,Store Count - End of the period,156,Store Count
ROST,Ross Stores Inc,Store Count - Opened in the period,157,Store Count
ROST,Ross Stores Inc,Store count - Store count at end of period,158,Store count
TJX,"The TJX Companies, Inc.",Geographic Sales - HomeGoods Sales From US,159,Geographic Sales
TJX,"The TJX Companies, Inc.",Geographic Sales - Marmaxx Sales From US,160,Geographic Sales
TJX,"The TJX Companies, Inc.",Geographic Sales - TJX Canada Sales,161,Geographic Sales
TJX,"The TJX Companies, Inc.",Geographic Sales - TJX Europe,162,Geographic Sales
TJX,"The TJX Companies, Inc.",Geographic Sales - TJX International Sales,163,Geographic Sales
TJX,"The TJX Companies, Inc.",Geographic Sales  - TJX Canada Sales 	,164,Geographic Sales 
TJX,"The TJX Companies, Inc.",Geographic Sales  - TJX International (Europe & Australia) Sales 	,165,Geographic Sales 
TJX,"The TJX Companies, Inc.",Geographic Sales  - TJX International (Europe & Australia) Sales,166,Geographic Sales 
TJX,"The TJX Companies, Inc.",Geographic Segment Sales  - HomeGoods (U.S.) Sales,167,Geographic Segment Sales 
TJX,"The TJX Companies, Inc.",Geographic Segment Sales  - Marmaxx (U.S.) Sales,168,Geographic Segment Sales 
TJX,"The TJX Companies, Inc.",Newly Opened Stores,169,Newly Opened Stores
TJX,"The TJX Companies, Inc.",Store Count - Total Store Count,170,Store Count
TLYS,"TILLY'S, INC.",New Stores Opened - New Stores Opened During Quarter,171,New Stores Opened
TLYS,"TILLY'S, INC.",Segment Revenues - E-commerce,172,Segment Revenues
TLYS,"TILLY'S, INC.",Segment Revenues - Proprietary,173,Segment Revenues
TLYS,"TILLY'S, INC.",Segment Revenues - Proprietary,173,Segment Revenues
TLYS,"TILLY'S, INC.",Segment Revenues - Retail stores,174,Segment Revenues
TLYS,"TILLY'S, INC.",Segment Revenues - Third-party,175,Segment Revenues
TLYS,"TILLY'S, INC.",Segment Revenues - Third-party,175,Segment Revenues
TLYS,"TILLY'S, INC.",Stores Permanently Closed During Quarter,176,Stores Permanently Closed During Quarter
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Accessories,177,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Accessories,177,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Boys,178,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Boys,178,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Footwear,179,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Footwear,179,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Girls,180,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Girls,180,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Mens,181,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Mens,181,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Outdoor,182,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Outdoor,182,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Women,183,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Sub Segment Revenue by Category - Womens,184,Sub Segment Revenue by Category
TLYS,"TILLY'S, INC.",Total Gross Square Footage at End of Quarter,185,Total Gross Square Footage at End of Quarter
TLYS,"TILLY'S, INC.",Total Stores at End of Quarter,186,Total Stores at End of Quarter
TPR,"TAPESTRY, INC.",Customers - new customers,187,Customers
TPR,"TAPESTRY, INC.",Geographic Revenues - Greater China Revenues,188,Geographic Revenues
TPR,"TAPESTRY, INC.",Geographic Revenues - North America Revenues,189,Geographic Revenues
TPR,"TAPESTRY, INC.",Geographic Revenues - Other Asia Revenues,190,Geographic Revenues
TPR,"TAPESTRY, INC.",Geographic Revenues - Other Revenues,191,Geographic Revenues
TPR,"TAPESTRY, INC.",Geographic Revenues - Total,192,Geographic Revenues
TPR,"TAPESTRY, INC.",Segment Revenues - Coach Revenues,193,Segment Revenues
TPR,"TAPESTRY, INC.",Segment Revenues - Kate Spade Revenues,194,Segment Revenues
TPR,"TAPESTRY, INC.",Segment Revenues - Stuart Weitzman Revenues,195,Segment Revenues
TPR,"TAPESTRY, INC.",Segment Revenues - Total,196,Segment Revenues
URBN,"URBAN OUTFITTERS, INC.",Net sales by brand - Anthropologie Group,197,Net sales by brand
URBN,"URBAN OUTFITTERS, INC.",Net sales by brand - Free People Group,198,Net sales by brand
URBN,"URBAN OUTFITTERS, INC.",Net sales by brand - Menus & Venues,199,Net sales by brand
URBN,"URBAN OUTFITTERS, INC.",Net sales by brand - Nuuly,200,Net sales by brand
URBN,"URBAN OUTFITTERS, INC.",Net sales by brand - Urban Outfitters,201,Net sales by brand
URBN,"URBAN OUTFITTERS, INC.",Net sales by segment - Retail Segment,202,Net sales by segment
URBN,"URBAN OUTFITTERS, INC.",Net sales by segment - Subscription Segment,203,Net sales by segment
URBN,"URBAN OUTFITTERS, INC.",Net sales by segment - Wholesale Segment,204,Net sales by segment
URBN,"URBAN OUTFITTERS, INC.",No. of New Stores Opened - New retail locations,205,No. of New Stores Opened
URBN,"URBAN OUTFITTERS, INC.",Stores - Closed franchisee-owned stores,206,Stores
URBN,"URBAN OUTFITTERS, INC.",Stores - Total closed retail stores,207,Stores
URBN,"URBAN OUTFITTERS, INC.",Stores - Total new retail location stores,208,Stores
VSCO,Victoria`s Secret & Co,Company-Operated Stores - Greater China - Beauty & Accessories,209,Company-Operated Stores
VSCO,Victoria`s Secret & Co,Company-Operated Stores - Greater China - Full Assortment,210,Company-Operated Stores
VSCO,Victoria`s Secret & Co,Company-Operated Stores - Stores in Canada,211,Company-Operated Stores
VSCO,Victoria`s Secret & Co,Company-Operated Stores - Stores in U.S,212,Company-Operated Stores
VSCO,Victoria`s Secret & Co,"New Store Openings - Company-Operated Stores in  Greater China - Beauty & Accessories
",213,New Store Openings
VSCO,Victoria`s Secret & Co,New Store Openings - Company-Operated Stores in Canada ,214,New Store Openings
VSCO,Victoria`s Secret & Co,New Store Openings - Company-Operated Stores in Greater China - Full Assortment ,215,New Store Openings
VSCO,Victoria`s Secret & Co,New Store Openings - Company-Operated Stores in U.S.,216,New Store Openings
VSCO,Victoria`s Secret & Co,New Store Openings - Partner-Operated Stores - Beauty & Accessories,217,New Store Openings
VSCO,Victoria`s Secret & Co,New Store Openings - Partner-Operated Stores - Full Assortment,218,New Store Openings
VSCO,Victoria`s Secret & Co,Number of Stores - Company-Operated Stores in  Greater China - Beauty & Accessories ,219,Number of Stores
VSCO,Victoria`s Secret & Co,Number of Stores - Company-Operated Stores in Canada ,220,Number of Stores
VSCO,Victoria`s Secret & Co,Number of Stores - Company-Operated Stores in Greater China - Full Assortment ,221,Number of Stores
VSCO,Victoria`s Secret & Co,Number of Stores - Company-Operated Stores in U.S.,222,Number of Stores
VSCO,Victoria`s Secret & Co,Number of Stores - Partner-Operated Stores - Beauty & Accessories,223,Number of Stores
VSCO,Victoria`s Secret & Co,Number of Stores - Partner-Operated Stores - Full Assortment,224,Number of Stores
VSCO,Victoria`s Secret & Co,Partner-Operated Stores - Beauty & Accessories ,225,Partner-Operated Stores
VSCO,Victoria`s Secret & Co,Partner-Operated Stores - Full Assortment,226,Partner-Operated Stores
VSCO,Victoria`s Secret & Co,Sales per Average Selling Square Foot - Company-Operated Stores- Sales per Average Selling Square Foot,227,Sales per Average Selling Square Foot
VSCO,Victoria`s Secret & Co,Sales per Average Store - Company-Operated Stores - Sales per Average Store,228,Sales per Average Store
VSCO,Victoria`s Secret & Co,Segment Revenue - Direct Revenue,229,Segment Revenue
VSCO,Victoria`s Secret & Co,Segment Revenue - International Revenue,230,Segment Revenue
VSCO,Victoria`s Secret & Co,Segment Revenue - Revenue from Stores of North America,231,Segment Revenue
VSCO,Victoria`s Secret & Co,Store Closures - Company-Operated Stores in  Greater China - Beauty & Accessories,232,Store Closures
VSCO,Victoria`s Secret & Co,Store Closures - Company-Operated Stores in Canada ,233,Store Closures
VSCO,Victoria`s Secret & Co,Store Closures - Company-Operated Stores in Greater China - Full Assortment ,234,Store Closures
VSCO,Victoria`s Secret & Co,Store Closures - Company-Operated Stores in U.S.,235,Store Closures
VSCO,Victoria`s Secret & Co,Store Closures - Partner-Operated Stores - Beauty & Accessories,236,Store Closures
VSCO,Victoria`s Secret & Co,Store Closures - Partner-Operated Stores - Full Assortment,237,Store Closures
ZUMZ,Zumiez Inc,Revenue by geographic region - Australia,238,Revenue by geographic region
ZUMZ,Zumiez Inc,Revenue by geographic region - Canada,239,Revenue by geographic region
ZUMZ,Zumiez Inc,Revenue by geographic region - Europe,240,Revenue by geographic region
ZUMZ,Zumiez Inc,Revenue by geographic region - United States,241,Revenue by geographic region
AAP,"ADVANCE AUTO PARTS, INC.",Segment Net Sales - Accessories and chemicals Sales,242,Segment Net Sales
AAP,"ADVANCE AUTO PARTS, INC.",Segment Net Sales - Accessories Sales,243,Segment Net Sales
AAP,"ADVANCE AUTO PARTS, INC.",Segment Net Sales - Chemicals Sales,244,Segment Net Sales
AAP,"ADVANCE AUTO PARTS, INC.",Segment Net Sales - Eliminations,245,Segment Net Sales
AAP,"ADVANCE AUTO PARTS, INC.",Segment Net Sales - Engine maintenance Sales,246,Segment Net Sales
AAP,"ADVANCE AUTO PARTS, INC.",Segment Net Sales - Guarantor Subsidiaries,247,Segment Net Sales
AAP,"ADVANCE AUTO PARTS, INC.",Segment Net Sales - Non-Guarantor Subsidiaries,248,Segment Net Sales
AAP,"ADVANCE AUTO PARTS, INC.",Segment Net Sales - Oil Sales,249,Segment Net Sales
AAP,"ADVANCE AUTO PARTS, INC.",Segment Net Sales - Other Sales,250,Segment Net Sales
AAP,"ADVANCE AUTO PARTS, INC.",Segment Net Sales - Parts and batteries Sales,251,Segment Net Sales
AAP,"ADVANCE AUTO PARTS, INC.",Stores and Branches - Closures or Consolidations,252,Stores and Branches
AAP,"ADVANCE AUTO PARTS, INC.",Stores and Branches - New Openings,253,Stores and Branches
AAP,"ADVANCE AUTO PARTS, INC.",Stores and Branches - Total Number,254,Stores and Branches
ABG,ASBURY AUTOMOTIVE GROUP INC,Average selling price - New vehicle Average selling price,255,Average selling price
ABG,ASBURY AUTOMOTIVE GROUP INC,Average selling price - Same store New vehicle Average selling price,256,Average selling price
ABG,ASBURY AUTOMOTIVE GROUP INC,Average selling price - Same store Used vehicle retail Average selling price,257,Average selling price
ABG,ASBURY AUTOMOTIVE GROUP INC,Average selling price - Used vehicle retail Average selling price,258,Average selling price
ABG,ASBURY AUTOMOTIVE GROUP INC,No. of New vehicle sold - Same store,259,No. of New vehicle sold
ABG,ASBURY AUTOMOTIVE GROUP INC,No. of New vehicle sold - Total Company,260,No. of New vehicle sold
ABG,ASBURY AUTOMOTIVE GROUP INC,No. of Used vehicle retail sold - Same store,261,No. of Used vehicle retail sold
ABG,ASBURY AUTOMOTIVE GROUP INC,No. of Used vehicle retail sold - Total Company,262,No. of Used vehicle retail sold
ABG,ASBURY AUTOMOTIVE GROUP INC,Number of Franchises,263,Number of Franchises
ABG,ASBURY AUTOMOTIVE GROUP INC,Segment Revenue - Finance and insurance,264,Segment Revenue
ABG,ASBURY AUTOMOTIVE GROUP INC,Segment Revenue - New vehicle,265,Segment Revenue
ABG,ASBURY AUTOMOTIVE GROUP INC,Segment Revenue - Parts and service,266,Segment Revenue
ABG,ASBURY AUTOMOTIVE GROUP INC,Segment Revenue - Used Vehicle,267,Segment Revenue
ABG,ASBURY AUTOMOTIVE GROUP INC,Sub Segment Revenue - Luxury - New vehicle,268,Sub Segment Revenue
ABG,ASBURY AUTOMOTIVE GROUP INC,Sub Segment Revenue - Retail - Used Vehicle,269,Sub Segment Revenue
ABG,ASBURY AUTOMOTIVE GROUP INC,Sub Segment Revenue - Wholesale - Used Vehicle,270,Sub Segment Revenue
ABG,ASBURY AUTOMOTIVE GROUP INC,Volume - New vehicle,271,Volume
ABG,ASBURY AUTOMOTIVE GROUP INC,Volume - Used vehicle retail,272,Volume
AN,"AutoNation, Inc.","Revenue - Finance and insurance, net",273,Revenue
AN,"AutoNation, Inc.",Revenue - New vehicle,274,Revenue
AN,"AutoNation, Inc.",Revenue - Other,275,Revenue
AN,"AutoNation, Inc.",Revenue - Parts and service,276,Revenue
AN,"AutoNation, Inc.",Revenue - Used vehicle,277,Revenue
AN,"AutoNation, Inc.","Sales by Type - Finance and insurance, net Sales",278,Sales by Type
AN,"AutoNation, Inc.",Sales by Type - New vehicle Sales,279,Sales by Type
AN,"AutoNation, Inc.",Sales by Type - Other Sales,280,Sales by Type
AN,"AutoNation, Inc.",Sales by Type - Parts and service Sales,281,Sales by Type
AN,"AutoNation, Inc.",Sales by Type - Used vehicle Sales,282,Sales by Type
AN,"AutoNation, Inc.",Segment Revenues - Corporate and other,283,Segment Revenues
AN,"AutoNation, Inc.",Segment Revenues - Corporate and other Revenue,284,Segment Revenues
AN,"AutoNation, Inc.",Segment Revenues - Domestic,285,Segment Revenues
AN,"AutoNation, Inc.",Segment Revenues - Domestic Revenue,286,Segment Revenues
AN,"AutoNation, Inc.",Segment Revenues - Import,287,Segment Revenues
AN,"AutoNation, Inc.",Segment Revenues - Import Revenue,288,Segment Revenues
AN,"AutoNation, Inc.",Segment Revenues - Premium Luxury,289,Segment Revenues
