kpi_unit,kpi_formula,kpi_output_type,kpi_source,kpi_name,kpi_id,kpi_category
stores,"COUNT(A1, A2,…,An)",#,EventVester,New Stores Openings - Company-Operated Stores ,27,New Stores Openings
stores,"COUNT(A1, A2,…,An)",#,EventVester,New Stores Openings - Partner-Operated Stores,28,New Stores Openings
stores,"SUM(A1,A2,…,An)",$,EventVester,Partner Operated Stores - International,29,Partner Operated Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Partner Operated Stores - International- Travel Retail,30,Partner Operated Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Partner operated stores,31,Partner operated stores
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Bath & Body Works Direct,32,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Bath & Body Works International,33,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Bath & Body Works Stores - U.S. and Canada,34,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Victoria's Secret Direct,35,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Victoria's Secret International,36,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Victoria's Secret Stores - U.S. and Canada,37,Segment Revenue
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Closures - Company-Operated Stores ,38,Store Closures
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Closures - Partner-Operated Stores,39,Store Closures
%,(A-B)/A,%,EventVester,Sales - Comparable Sales,40,Sales
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Chico's Revenue,41,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Soma Revenue,42,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - White House Black Market Revenue,43,Segment Revenue
sqf,A-B,A,EventVester,Selling Square Footage - Net Selling Square Footage (SSF),44,Selling Square Footage
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores - Franchised Stores,45,Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores - Total Stores,46,Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores - Chico's Frontline Boutiques ,47,Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores - Chico's Outlets ,48,Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores - Soma Frontline Boutiques ,49,Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores - Soma Outlets ,50,Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores - WHBM Frontline Boutiques ,51,Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores - WHBM Outlets ,52,Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores - Store Closures,53,Stores
$,A-B,$,EventVester,Geographic Net Sales - International,54,Geographic Net Sales
$,A-B,$,EventVester,Geographic Net Sales - U.S. Retail,55,Geographic Net Sales
$,A-B,$,EventVester,Geographic Net Sales - U.S. Wholesale,56,Geographic Net Sales
$,A,$,EventVester,Revenue by Source - Direct-to-consumer,57,Revenue by Source
$,A,$,EventVester,Revenue by Source - Wholesale channel,58,Revenue by Source
$,A,$,EventVester,Revenue by Product Category - Apparel Net Sales,59,Revenue by Product Category
$,A,$,EventVester,Revenue by Product Category - Non-Apparel Net Sales,60,Revenue by Product Category
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Direct-to-consumer,61,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Stores,62,Segment Revenue
stores,"COUNT(A1, A2,…,An)",#,EventVester,No. of Company-Operated Stores - Closed,63,No. of Company-Operated Stores
stores,"COUNT(A1, A2,…,An)",#,EventVester,No. of Company-Operated Stores - Express Edit Concept Stores,64,No. of Company-Operated Stores
stores,"COUNT(A1, A2,…,An)",#,EventVester,No. of Company-Operated Stores - Opened,65,No. of Company-Operated Stores
stores,"COUNT(A1, A2,…,An)",#,EventVester,No. of Company-Operated Stores - Outlet Stores,66,No. of Company-Operated Stores
stores,"COUNT(A1, A2,…,An)",#,EventVester,No. of Company-Operated Stores - Retail Stores,67,No. of Company-Operated Stores
stores,"COUNT(A1, A2,…,An)",#,EventVester,No. of Company-Operated Stores - Store Count,68,No. of Company-Operated Stores
stores,"COUNT(A1, A2,…,An)",#,EventVester,No. of Company-Operated Stores - UpWest Stores,69,No. of Company-Operated Stores
$,A,$,EventVester,Segment Revenue by Channel - Other Channel revenue,70,Segment Revenue by Channel
$,A,$,EventVester,Segment Revenue by Channel - Outlet Revenue,71,Segment Revenue by Channel
$,A,$,EventVester,Segment Revenue by Channel - Retail Revenue,72,Segment Revenue by Channel
$,A,$,EventVester,Segment Revenue by Product - Accessories and other Revenue,73,Segment Revenue by Product
$,A,$,EventVester,Segment Revenue by Product - Apparel Revenue,74,Segment Revenue by Product
$,A,$,EventVester,Segment Revenue by Product - Other Product revenue,75,Segment Revenue by Product
$,A,$,EventVester,Segment Revenue - Corporate and Other Revenue,76,Segment Revenue
$,A,$,EventVester,Segment Revenue - Johnston & Murphy Group Revenue,77,Segment Revenue
$,A,$,EventVester,Segment Revenue - Journeys Group Revenue,78,Segment Revenue
$,A,$,EventVester,Segment Revenue - Licensed Brands Revenue,79,Segment Revenue
$,A,$,EventVester,Segment Revenue - Schuh Group Revenue,80,Segment Revenue
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores - Store Closed,81,Stores
$,A,$,EventVester,Revenue by Geographic area - Canada,82,Revenue by Geographic area
$,A,$,EventVester,Revenue by Geographic area - Germany,83,Revenue by Geographic area
$,A,$,EventVester,Revenue by Geographic area - Italy,84,Revenue by Geographic area
$,A,$,EventVester,Revenue by Geographic area - Other foreign countries,85,Revenue by Geographic area
$,A,$,EventVester,Revenue by Geographic area - South Korea,86,Revenue by Geographic area
$,A,$,EventVester,Revenue by Geographic area - Spain,87,Revenue by Geographic area
$,A,$,EventVester,Revenue by Geographic area - U.S.,88,Revenue by Geographic area
$,A,$,EventVester,Revenue by Product - Net royalties ,89,Revenue by Product
$,A,$,EventVester,Revenue by Product - Product sales,90,Revenue by Product
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Americas Retail,91,Segment Revenue
% decrease yoy,(A-B)/A,%,EventVester,Segment Revenue - Americas Retail comp sales,92,Segment Revenue
% increase yoy,(A-B)/A,%,EventVester,Segment Revenue - Americas Retail comp sales,92,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Americas Wholesale,93,Segment Revenue
% increase yoy,(A-B)/A,%,EventVester,Segment Revenue - Americas Wholesale,93,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Asia,94,Segment Revenue
% decrease yoy,(A-B)/A,%,EventVester,Segment Revenue - Asia Retail comp sales,95,Segment Revenue
% increase yoy,(A-B)/A,%,EventVester,Segment Revenue - Asia Retail comp sales,95,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Europe,96,Segment Revenue
% decrease yoy,(A-B)/A,%,EventVester,Segment Revenue - Europe Retail comp sales,97,Segment Revenue
% increase yoy,(A-B)/A,%,EventVester,Segment Revenue - Europe Retail comp sales,97,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Licensing,98,Segment Revenue
% increase yoy,(A-B)/A,%,EventVester,Segment Revenue - Licensing,98,Segment Revenue
$,A,$,EventVester,Sales by Brand - Athleta Sales,99,Sales by Brand
$,A,$,EventVester,Sales by Brand - Banana Republic Global Sales,100,Sales by Brand
$,A,$,EventVester,Sales by Brand - Gap Global,101,Sales by Brand
$,A,$,EventVester,Sales by Brand - Gap Global Sales,102,Sales by Brand
$,A,$,EventVester,Sales by Brand - Old Navy Global,103,Sales by Brand
$,A,$,EventVester,Sales by Brand - Old Navy Global Sales,104,Sales by Brand
$,A,$,EventVester,Sales by Brand - Other Sales,105,Sales by Brand
$,A,$,EventVester,Sales by Brand - Total net sales,106,Sales by Brand
$,A,$,EventVester,Sales by Geographic Region - Asia Sales,107,Sales by Geographic Region
$,A,$,EventVester,Sales by Geographic Region - Canada Sales,108,Sales by Geographic Region
$,A,$,EventVester,Sales by Geographic Region - Europe Sales,109,Sales by Geographic Region
$,A,$,EventVester,Sales by Geographic Region - Other Regions Sales,110,Sales by Geographic Region
$,A-B,$,EventVester,Sales by Geographic Region - Total net sales,111,Sales by Geographic Region
$,A,$,EventVester,Sales by Geographic Region - total sales ,112,Sales by Geographic Region
$,A,$,EventVester,Sales by Geographic Region - U.S. Sales,113,Sales by Geographic Region
$,A-B,$,EventVester,Segment Sales - Online sales,114,Segment Sales
$,A-B,$,EventVester,Segment Sales - Store sales,115,Segment Sales
$,A-B,$,EventVester,Segment Sales - Total net sales,116,Segment Sales
$,A,$,EventVester,Revenues by Category - Credit card revenues,117,Revenues by Category
%,(A-B)/A,%,EventVester,Sales - Anniversary Event Sales,118,Sales
%,(A-B)/A,%,EventVester,Sales - Digital Sales,119,Sales
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Nordstrom Rack Sales,120,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Nordstrom Sales,121,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic revenues - Americas,122,Geographic revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic revenues - Asia,123,Geographic revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic revenues - Europe,124,Geographic revenues
$,A,$,EventVester,Segment Revenue by Channel - Direct-to-consumer from Americas,125,Segment Revenue by Channel
$,A,$,EventVester,Segment Revenue by Channel - Direct-to-consumer from Asia,126,Segment Revenue by Channel
$,A,$,EventVester,Segment Revenue by Channel - Direct-to-consumer from Europe,127,Segment Revenue by Channel
$,A,$,EventVester,Segment Revenue by Channel - Wholesale revenue from Americas,128,Segment Revenue by Channel
$,A,$,EventVester,Segment Revenue by Channel - Wholesale revenue from Asia,129,Segment Revenue by Channel
$,A,$,EventVester,Segment Revenue by Channel - Wholesale revenue from Europe,130,Segment Revenue by Channel
$,A,$,EventVester,Revenue by Segment - Digital Subscription and Content,131,Revenue by Segment
$,A,$,EventVester,Revenue by Segment - Direct-to-Consumer,132,Revenue by Segment
$,A,$,EventVester,Revenue by Segment - Licensing,133,Revenue by Segment
$,A,$,EventVester,Revenue by Segment - Other,134,Revenue by Segment
$,A,$,EventVester,Revenue by Type - Consumer Products,135,Revenue by Type
$,A,$,EventVester,Revenue by Type - Magazine and Digital Subscriptions,136,Revenue by Type
$,A,$,EventVester,Revenue by Type - Trademark Licensing,137,Revenue by Type
$,A,$,EventVester,Revenue by Type - TV and Cable Programming,138,Revenue by Type
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic Revenue - International & Other Sales,139,Geographic Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic Revenue - Mid-West Sales,140,Geographic Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic Revenue - North East Sales,141,Geographic Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic Revenue - South Sales,142,Geographic Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic Revenue - West Sales,143,Geographic Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - The Children's Place International,144,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - The Children's Place U.S.,145,Segment Revenue
stores,"COUNT(A1, A2,…,An)",#,EventVester,Stores - Closed store count,146,Stores
stores,"COUNT(A1, A2,…,An)",#,EventVester,Stores - Total store count,147,Stores
%,(A-B)/A,%,EventVester,"sales mix - Accessories, Lingerie, Fine Jewelry, and Fragrances",148,sales mix
%,(A-B)/A,%,EventVester,sales mix - Children's,149,sales mix
%,(A-B)/A,%,EventVester,sales mix - Home Accents and Bed and Bath,150,sales mix
%,(A-B)/A,%,EventVester,sales mix - Ladies,151,sales mix
%,(A-B)/A,%,EventVester,sales mix - Men's,152,sales mix
%,(A-B)/A,%,EventVester,sales mix - Shoes,153,sales mix
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Count - Beginning of the period,154,Store Count
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Count - Closed in the period,155,Store Count
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Count - End of the period,156,Store Count
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Count - Opened in the period,157,Store Count
stores,"COUNT(A1, A2,…,An)",#,EventVester,Store count - Store count at end of period,158,Store count
$,A-B,$,EventVester,Geographic Sales - HomeGoods Sales From US,159,Geographic Sales
$,A-B,$,EventVester,Geographic Sales - Marmaxx Sales From US,160,Geographic Sales
$,A-B,$,EventVester,Geographic Sales - TJX Canada Sales,161,Geographic Sales
$,A-B,$,EventVester,Geographic Sales - TJX Europe,162,Geographic Sales
$,A-B,$,EventVester,Geographic Sales - TJX International Sales,163,Geographic Sales
$,A-B,$,EventVester,Geographic Sales  - TJX Canada Sales 	,164,Geographic Sales 
$,A-B,$,EventVester,Geographic Sales  - TJX International (Europe & Australia) Sales 	,165,Geographic Sales 
$,A-B,$,EventVester,Geographic Sales  - TJX International (Europe & Australia) Sales,166,Geographic Sales 
$,A-B,$,EventVester,Geographic Segment Sales  - HomeGoods (U.S.) Sales,167,Geographic Segment Sales 
$,A-B,$,EventVester,Geographic Segment Sales  - Marmaxx (U.S.) Sales,168,Geographic Segment Sales 
stores,"SUM(A1,A2,…,An)",$,EventVester,Newly Opened Stores,169,Newly Opened Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Count - Total Store Count,170,Store Count
stores,"COUNT(A1, A2,…,An)",#,EventVester,New Stores Opened - New Stores Opened During Quarter,171,New Stores Opened
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenues - E-commerce,172,Segment Revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenues - Proprietary,173,Segment Revenues
%,"SUM(A1,A2,…,An)",%,EventVester,Segment Revenues - Proprietary,173,Segment Revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenues - Retail stores,174,Segment Revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenues - Third-party,175,Segment Revenues
%,"SUM(A1,A2,…,An)",%,EventVester,Segment Revenues - Third-party,175,Segment Revenues
stores,"COUNT(A1, A2,…,An)",#,EventVester,Stores Permanently Closed During Quarter,176,Stores Permanently Closed During Quarter
$,A,$,EventVester,Sub Segment Revenue by Category - Accessories,177,Sub Segment Revenue by Category
%,(A-B)/A,%,EventVester,Sub Segment Revenue by Category - Accessories,177,Sub Segment Revenue by Category
$,A,$,EventVester,Sub Segment Revenue by Category - Boys,178,Sub Segment Revenue by Category
%,(A-B)/A,%,EventVester,Sub Segment Revenue by Category - Boys,178,Sub Segment Revenue by Category
$,A,$,EventVester,Sub Segment Revenue by Category - Footwear,179,Sub Segment Revenue by Category
%,(A-B)/A,%,EventVester,Sub Segment Revenue by Category - Footwear,179,Sub Segment Revenue by Category
$,A,$,EventVester,Sub Segment Revenue by Category - Girls,180,Sub Segment Revenue by Category
%,(A-B)/A,%,EventVester,Sub Segment Revenue by Category - Girls,180,Sub Segment Revenue by Category
$,A,$,EventVester,Sub Segment Revenue by Category - Mens,181,Sub Segment Revenue by Category
%,(A-B)/A,%,EventVester,Sub Segment Revenue by Category - Mens,181,Sub Segment Revenue by Category
$,A,$,EventVester,Sub Segment Revenue by Category - Outdoor,182,Sub Segment Revenue by Category
%,(A-B)/A,%,EventVester,Sub Segment Revenue by Category - Outdoor,182,Sub Segment Revenue by Category
$,A,$,EventVester,Sub Segment Revenue by Category - Women,183,Sub Segment Revenue by Category
%,(A-B)/A,%,EventVester,Sub Segment Revenue by Category - Womens,184,Sub Segment Revenue by Category
sft,A,#,EventVester,Total Gross Square Footage at End of Quarter,185,Total Gross Square Footage at End of Quarter
stores,"COUNT(A1, A2,…,An)",#,EventVester,Total Stores at End of Quarter,186,Total Stores at End of Quarter
Customers,A,$,EventVester,Customers - new customers,187,Customers
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic Revenues - Greater China Revenues,188,Geographic Revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic Revenues - North America Revenues,189,Geographic Revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic Revenues - Other Asia Revenues,190,Geographic Revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic Revenues - Other Revenues,191,Geographic Revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Geographic Revenues - Total,192,Geographic Revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenues - Coach Revenues,193,Segment Revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenues - Kate Spade Revenues,194,Segment Revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenues - Stuart Weitzman Revenues,195,Segment Revenues
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenues - Total,196,Segment Revenues
$,A,$,EventVester,Net sales by brand - Anthropologie Group,197,Net sales by brand
$,A,$,EventVester,Net sales by brand - Free People Group,198,Net sales by brand
$,A,$,EventVester,Net sales by brand - Menus & Venues,199,Net sales by brand
$,A,$,EventVester,Net sales by brand - Nuuly,200,Net sales by brand
$,A,$,EventVester,Net sales by brand - Urban Outfitters,201,Net sales by brand
$,A-B,$,EventVester,Net sales by segment - Retail Segment,202,Net sales by segment
$,A-B,$,EventVester,Net sales by segment - Subscription Segment,203,Net sales by segment
$,A-B,$,EventVester,Net sales by segment - Wholesale Segment,204,Net sales by segment
stores,"COUNT(A1, A2,…,An)",#,EventVester,No. of New Stores Opened - New retail locations,205,No. of New Stores Opened
stores,"COUNT(A1, A2,…,An)",#,EventVester,Stores - Closed franchisee-owned stores,206,Stores
stores,"COUNT(A1, A2,…,An)",#,EventVester,Stores - Total closed retail stores,207,Stores
stores,"COUNT(A1, A2,…,An)",#,EventVester,Stores - Total new retail location stores,208,Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Company-Operated Stores - Greater China - Beauty & Accessories,209,Company-Operated Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Company-Operated Stores - Greater China - Full Assortment,210,Company-Operated Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Company-Operated Stores - Stores in Canada,211,Company-Operated Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Company-Operated Stores - Stores in U.S,212,Company-Operated Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,"New Store Openings - Company-Operated Stores in  Greater China - Beauty & Accessories
",213,New Store Openings
stores,"SUM(A1,A2,…,An)",$,EventVester,New Store Openings - Company-Operated Stores in Canada ,214,New Store Openings
stores,"SUM(A1,A2,…,An)",$,EventVester,New Store Openings - Company-Operated Stores in Greater China - Full Assortment ,215,New Store Openings
stores,"SUM(A1,A2,…,An)",$,EventVester,New Store Openings - Company-Operated Stores in U.S.,216,New Store Openings
stores,"SUM(A1,A2,…,An)",$,EventVester,New Store Openings - Partner-Operated Stores - Beauty & Accessories,217,New Store Openings
stores,"SUM(A1,A2,…,An)",$,EventVester,New Store Openings - Partner-Operated Stores - Full Assortment,218,New Store Openings
stores,"SUM(A1,A2,…,An)",$,EventVester,Number of Stores - Company-Operated Stores in  Greater China - Beauty & Accessories ,219,Number of Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Number of Stores - Company-Operated Stores in Canada ,220,Number of Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Number of Stores - Company-Operated Stores in Greater China - Full Assortment ,221,Number of Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Number of Stores - Company-Operated Stores in U.S.,222,Number of Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Number of Stores - Partner-Operated Stores - Beauty & Accessories,223,Number of Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Number of Stores - Partner-Operated Stores - Full Assortment,224,Number of Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Partner-Operated Stores - Beauty & Accessories ,225,Partner-Operated Stores
stores,"SUM(A1,A2,…,An)",$,EventVester,Partner-Operated Stores - Full Assortment,226,Partner-Operated Stores
$,A/B,$,EventVester,Sales per Average Selling Square Foot - Company-Operated Stores- Sales per Average Selling Square Foot,227,Sales per Average Selling Square Foot
$,A/B,$,EventVester,Sales per Average Store - Company-Operated Stores - Sales per Average Store,228,Sales per Average Store
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Direct Revenue,229,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - International Revenue,230,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Revenue from Stores of North America,231,Segment Revenue
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Closures - Company-Operated Stores in  Greater China - Beauty & Accessories,232,Store Closures
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Closures - Company-Operated Stores in Canada ,233,Store Closures
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Closures - Company-Operated Stores in Greater China - Full Assortment ,234,Store Closures
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Closures - Company-Operated Stores in U.S.,235,Store Closures
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Closures - Partner-Operated Stores - Beauty & Accessories,236,Store Closures
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Closures - Partner-Operated Stores - Full Assortment,237,Store Closures
$,A,$,EventVester,Revenue by geographic region - Australia,238,Revenue by geographic region
$,A,$,EventVester,Revenue by geographic region - Canada,239,Revenue by geographic region
$,A,$,EventVester,Revenue by geographic region - Europe,240,Revenue by geographic region
$,A,$,EventVester,Revenue by geographic region - United States,241,Revenue by geographic region
% of net sales,(A-B)/A,%,EventVester,Segment Net Sales - Accessories and chemicals Sales,242,Segment Net Sales
% of net sales,(A-B)/A,%,EventVester,Segment Net Sales - Accessories Sales,243,Segment Net Sales
% of net sales,(A-B)/A,%,EventVester,Segment Net Sales - Chemicals Sales,244,Segment Net Sales
$,A-B,$,EventVester,Segment Net Sales - Eliminations,245,Segment Net Sales
% of net sales,(A-B)/A,%,EventVester,Segment Net Sales - Engine maintenance Sales,246,Segment Net Sales
$,A-B,$,EventVester,Segment Net Sales - Guarantor Subsidiaries,247,Segment Net Sales
$,A-B,$,EventVester,Segment Net Sales - Non-Guarantor Subsidiaries,248,Segment Net Sales
% of net sales,(A-B)/A,%,EventVester,Segment Net Sales - Oil Sales,249,Segment Net Sales
% of net sales,(A-B)/A,%,EventVester,Segment Net Sales - Other Sales,250,Segment Net Sales
% of net sales,(A-B)/A,%,EventVester,Segment Net Sales - Parts and batteries Sales,251,Segment Net Sales
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores and Branches - Closures or Consolidations,252,Stores and Branches
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores and Branches - New Openings,253,Stores and Branches
stores,"SUM(A1,A2,…,An)",$,EventVester,Stores and Branches - Total Number,254,Stores and Branches
$,SUM(A1+A2+...+An)/n,$,EventVester,Average selling price - New vehicle Average selling price,255,Average selling price
$,"SUM(A1,A2,…,An)",$,EventVester,Average selling price - Same store New vehicle Average selling price,256,Average selling price
$,"SUM(A1,A2,…,An)",$,EventVester,Average selling price - Same store Used vehicle retail Average selling price,257,Average selling price
$,SUM(A1+A2+...+An)/n,$,EventVester,Average selling price - Used vehicle retail Average selling price,258,Average selling price
stores,"COUNT(A1, A2,…,An)",#,EventVester,No. of New vehicle sold - Same store,259,No. of New vehicle sold
units,"COUNT(A1, A2,…,An)",#,EventVester,No. of New vehicle sold - Total Company,260,No. of New vehicle sold
stores,"COUNT(A1, A2,…,An)",#,EventVester,No. of Used vehicle retail sold - Same store,261,No. of Used vehicle retail sold
units,"COUNT(A1, A2,…,An)",#,EventVester,No. of Used vehicle retail sold - Total Company,262,No. of Used vehicle retail sold
units,A,#,EventVester,Number of Franchises,263,Number of Franchises
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Finance and insurance,264,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - New vehicle,265,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Parts and service,266,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Used Vehicle,267,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Sub Segment Revenue - Luxury - New vehicle,268,Sub Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Sub Segment Revenue - Retail - Used Vehicle,269,Sub Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Sub Segment Revenue - Wholesale - Used Vehicle,270,Sub Segment Revenue
% increase,A-B,%,EventVester,Volume - New vehicle,271,Volume
% increase,A-B,%,EventVester,Volume - Used vehicle retail,272,Volume
$,A,$,EventVester,"Revenue - Finance and insurance, net",273,Revenue
$,A,$,EventVester,Revenue - New vehicle,274,Revenue
