var_a_type,var_a_name,var_b_type,var_b_name,kpi_name,kpi_id,kpi_category
Ai,Geographic Revenue,n,Number of Regions,Geographic revenues - Americas,122,Geographic revenues
Ai,Geographic Revenue,n,Number of Regions,Geographic revenues - Asia,123,Geographic revenues
Ai,Geographic Revenue,n,Number of Regions,Geographic revenues - Europe,124,Geographic revenues
Ai,Segment Sum of Revenue,n,Number of Items,Segment Revenue by Channel - Direct-to-consumer from Americas,125,Segment Revenue by Channel
Ai,Segment Sum of Revenue,n,Number of Items,Segment Revenue by Channel - Direct-to-consumer from Asia,126,Segment Revenue by Channel
Ai,Segment Sum of Revenue,n,Number of Items,Segment Revenue by Channel - Direct-to-consumer from Europe,127,Segment Revenue by Channel
A,Segment Revenue,,,Segment Revenue by Channel - Wholesale revenue from Americas,128,Segment Revenue by Channel
A,Segment Revenue,,,Segment Revenue by Channel - Wholesale revenue from Asia,129,Segment Revenue by Channel
A,Segment Revenue,,,Segment Revenue by Channel - Wholesale revenue from Europe,130,Segment Revenue by Channel
A,Segment Revenue,,,Revenue by Segment - Digital Subscription and Content,131,Revenue by Segment
A,Segment Sum of Revenue,,,Revenue by Segment - Direct-to-Consumer,132,Revenue by Segment
A,Segment Revenue,,,Revenue by Segment - Licensing,133,Revenue by Segment
A,Segment Revenue,,,Revenue by Segment - Other,134,Revenue by Segment
Ai,Sum of Revenue,n,Number of Items,Revenue by Type - Consumer Products,135,Revenue by Type
A,Revenue,,,Revenue by Type - Magazine and Digital Subscriptions,136,Revenue by Type
A,Revenue,,,Revenue by Type - Trademark Licensing,137,Revenue by Type
A,Revenue,,,Revenue by Type - TV and Cable Programming,138,Revenue by Type
Ai,Geographic Sales Revenue,n,Number of Regions,Geographic Revenue - International & Other Sales,139,Geographic Revenue
Ai,Geographic Sales Revenue,n,Number of Regions,Geographic Revenue - Mid-West Sales,140,Geographic Revenue
Ai,Geographic Sales Revenue,n,Number of Regions,Geographic Revenue - North East Sales,141,Geographic Revenue
Ai,Geographic Sales Revenue,n,Number of Regions,Geographic Revenue - South Sales,142,Geographic Revenue
Ai,Geographic Sales Revenue,n,Number of Regions,Geographic Revenue - West Sales,143,Geographic Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - The Children's Place International,144,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - The Children's Place U.S.,145,Segment Revenue
Ai,Stores Count,n,Number of Stores,Stores - Closed store count,146,Stores
Ai,Total Stores Count,n,Number of Stores,Stores - Total store count,147,Stores
A,Sales,B,Sales previous period,"sales mix - Accessories, Lingerie, Fine Jewelry, and Fragrances",148,sales mix
A,Sales,B,Sales previous period,sales mix - Children's,149,sales mix
A,Sales,B,Sales previous period,sales mix - Home Accents and Bed and Bath,150,sales mix
A,Sales,B,Sales previous period,sales mix - Ladies,151,sales mix
A,Sales,B,Sales previous period,sales mix - Men's,152,sales mix
A,Sales,B,Sales previous period,sales mix - Shoes,153,sales mix
Ai,per Unit Stores Count,n,Number of Stores,Store Count - Beginning of the period,154,Store Count
Ai,per Unit Stores Count,n,Number of Stores,Store Count - Closed in the period,155,Store Count
Ai,per Unit Stores Count,n,Number of Stores,Store Count - End of the period,156,Store Count
Ai,per Unit Stores Count,n,Number of Stores,Store Count - Opened in the period,157,Store Count
Ai,per Unit Stores Count,n,Number of Stores,Store count - Store count at end of period,158,Store count
A,Geographic Sales,B,Geographic Sales prevous period,Geographic Sales - HomeGoods Sales From US,159,Geographic Sales
A,Geographic Sales,B,Geographic Sales prevous period,Geographic Sales - Marmaxx Sales From US,160,Geographic Sales
A,Geographic Sales,B,Geographic Sales prevous period,Geographic Sales - TJX Canada Sales,161,Geographic Sales
A,Geographic Sales,B,Geographic Sales prevous period,Geographic Sales - TJX Europe,162,Geographic Sales
A,Geographic Sales,B,Geographic Sales prevous period,Geographic Sales - TJX International Sales,163,Geographic Sales
A,Geographic Sales,B,Geographic Sales prevous period,Geographic Sales  - TJX Canada Sales 	,164,Geographic Sales 
A,Geographic Sales,B,Geographic Sales prevous period,Geographic Sales  - TJX International (Europe & Australia) Sales 	,165,Geographic Sales 
A,Geographic Sales,B,Geographic Sales prevous period,Geographic Sales  - TJX International (Europe & Australia) Sales,166,Geographic Sales 
A,Segment Geographic Sales,B,Geographic Sales prevous period,Geographic Segment Sales  - HomeGoods (U.S.) Sales,167,Geographic Segment Sales 
A,Segment Geographic Sales,B,Geographic Sales prevous period,Geographic Segment Sales  - Marmaxx (U.S.) Sales,168,Geographic Segment Sales 
Ai,New Stores,n,Number of Stores,Newly Opened Stores,169,Newly Opened Stores
Ai,Total Stores Count,n,Number of Stores,Store Count - Total Store Count,170,Store Count
Ai,New Stores,n,Number of Stores,New Stores Opened - New Stores Opened During Quarter,171,New Stores Opened
Ai,Segment Revenue,n,Number of Segments,Segment Revenues - E-commerce,172,Segment Revenues
Ai,Segment Revenue,n,Number of Segments,Segment Revenues - Proprietary,173,Segment Revenues
Ai,Segment Revenue,n,Number of Segments,Segment Revenues - Proprietary,173,Segment Revenues
Ai,Segment Stores Revenue,n,Number of Stores,Segment Revenues - Retail stores,174,Segment Revenues
Ai,Segment Revenue,n,Number of Segments,Segment Revenues - Third-party,175,Segment Revenues
Ai,Segment Revenue,n,Number of Segments,Segment Revenues - Third-party,175,Segment Revenues
Ai,per Unit Stores,n,Number of Stores,Stores Permanently Closed During Quarter,176,Stores Permanently Closed During Quarter
A,Segment Revenue,,,Sub Segment Revenue by Category - Accessories,177,Sub Segment Revenue by Category
A,Segment Revenue,B,Category Revenue previous period,Sub Segment Revenue by Category - Accessories,177,Sub Segment Revenue by Category
A,Segment Revenue,,,Sub Segment Revenue by Category - Boys,178,Sub Segment Revenue by Category
A,Segment Revenue,B,Category Revenue previous period,Sub Segment Revenue by Category - Boys,178,Sub Segment Revenue by Category
A,Segment Revenue,,,Sub Segment Revenue by Category - Footwear,179,Sub Segment Revenue by Category
A,Segment Revenue,B,Category Revenue previous period,Sub Segment Revenue by Category - Footwear,179,Sub Segment Revenue by Category
A,Segment Revenue,,,Sub Segment Revenue by Category - Girls,180,Sub Segment Revenue by Category
A,Segment Revenue,B,Category Revenue previous period,Sub Segment Revenue by Category - Girls,180,Sub Segment Revenue by Category
A,Segment Revenue,,,Sub Segment Revenue by Category - Mens,181,Sub Segment Revenue by Category
A,Segment Revenue,B,Category Revenue previous period,Sub Segment Revenue by Category - Mens,181,Sub Segment Revenue by Category
A,Segment Revenue,,,Sub Segment Revenue by Category - Outdoor,182,Sub Segment Revenue by Category
A,Segment Revenue,B,Category Revenue previous period,Sub Segment Revenue by Category - Outdoor,182,Sub Segment Revenue by Category
A,Segment Revenue,,,Sub Segment Revenue by Category - Women,183,Sub Segment Revenue by Category
A,Segment Revenue,B,Category Revenue previous period,Sub Segment Revenue by Category - Womens,184,Sub Segment Revenue by Category
A,Total Gross,,,Total Gross Square Footage at End of Quarter,185,Total Gross Square Footage at End of Quarter
Ai,Total Stores,n,Number of Stores,Total Stores at End of Quarter,186,Total Stores at End of Quarter
A,New Customers,,,Customers - new customers,187,Customers
Ai,Geographic Revenue,n,Number of Regions,Geographic Revenues - Greater China Revenues,188,Geographic Revenues
Ai,Geographic Revenue,n,Number of Regions,Geographic Revenues - North America Revenues,189,Geographic Revenues
Ai,Geographic Revenue,n,Number of Regions,Geographic Revenues - Other Asia Revenues,190,Geographic Revenues
Ai,Geographic Revenue,n,Number of Regions,Geographic Revenues - Other Revenues,191,Geographic Revenues
Ai,Total Geographic Revenue,n,Number of Regions,Geographic Revenues - Total,192,Geographic Revenues
Ai,Segment Revenue,n,Number of Segments,Segment Revenues - Coach Revenues,193,Segment Revenues
Ai,Segment Revenue,n,Number of Segments,Segment Revenues - Kate Spade Revenues,194,Segment Revenues
Ai,Segment Revenue,n,Number of Segments,Segment Revenues - Stuart Weitzman Revenues,195,Segment Revenues
Ai,Segment Total Revenue,n,Number of Segments,Segment Revenues - Total,196,Segment Revenues
A,Brand Revenue previous period,,,Net sales by brand - Anthropologie Group,197,Net sales by brand
A,Brand Revenue previous period,,,Net sales by brand - Free People Group,198,Net sales by brand
A,Brand Revenue previous period,,,Net sales by brand - Menus & Venues,199,Net sales by brand
A,Brand Revenue previous period,,,Net sales by brand - Nuuly,200,Net sales by brand
A,Brand Revenue previous period,,,Net sales by brand - Urban Outfitters,201,Net sales by brand
A,Segment Net Sales,B,Segment Revenue previous period,Net sales by segment - Retail Segment,202,Net sales by segment
A,Segment Net Sales,B,Segment Revenue previous period,Net sales by segment - Subscription Segment,203,Net sales by segment
A,Segment Net Sales,B,Segment Revenue previous period,Net sales by segment - Wholesale Segment,204,Net sales by segment
Ai,New Stores Locations,n,Number of Stores,No. of New Stores Opened - New retail locations,205,No. of New Stores Opened
Ai,Stores Franchise,n,Number of Stores,Stores - Closed franchisee-owned stores,206,Stores
Ai,Total Stores,n,Number of Stores,Stores - Total closed retail stores,207,Stores
Ai,Total New Stores Locations,n,Number of Stores,Stores - Total new retail location stores,208,Stores
Ai,Stores,n,Number of Stores,Company-Operated Stores - Greater China - Beauty & Accessories,209,Company-Operated Stores
Ai,Stores,n,Number of Stores,Company-Operated Stores - Greater China - Full Assortment,210,Company-Operated Stores
Ai,Stores,n,Number of Stores,Company-Operated Stores - Stores in Canada,211,Company-Operated Stores
Ai,Stores,n,Number of Stores,Company-Operated Stores - Stores in U.S,212,Company-Operated Stores
Ai,New Stores Openings,n,Number of Stores,"New Store Openings - Company-Operated Stores in  Greater China - Beauty & Accessories
",213,New Store Openings
Ai,New Stores Openings,n,Number of Stores,New Store Openings - Company-Operated Stores in Canada ,214,New Store Openings
Ai,New Stores Openings,n,Number of Stores,New Store Openings - Company-Operated Stores in Greater China - Full Assortment ,215,New Store Openings
Ai,New Stores Openings,n,Number of Stores,New Store Openings - Company-Operated Stores in U.S.,216,New Store Openings
Ai,New Stores Openings,n,Number of Stores,New Store Openings - Partner-Operated Stores - Beauty & Accessories,217,New Store Openings
Ai,New Stores Openings,n,Number of Stores,New Store Openings - Partner-Operated Stores - Full Assortment,218,New Store Openings
Ai,Stores,n,Number of Stores,Number of Stores - Company-Operated Stores in  Greater China - Beauty & Accessories ,219,Number of Stores
Ai,Stores,n,Number of Stores,Number of Stores - Company-Operated Stores in Canada ,220,Number of Stores
Ai,Stores,n,Number of Stores,Number of Stores - Company-Operated Stores in Greater China - Full Assortment ,221,Number of Stores
Ai,Stores,n,Number of Stores,Number of Stores - Company-Operated Stores in U.S.,222,Number of Stores
Ai,Stores,n,Number of Stores,Number of Stores - Partner-Operated Stores - Beauty & Accessories,223,Number of Stores
Ai,Stores,n,Number of Stores,Number of Stores - Partner-Operated Stores - Full Assortment,224,Number of Stores
Ai,Stores,n,Number of Stores,Partner-Operated Stores - Beauty & Accessories ,225,Partner-Operated Stores
Ai,Stores,n,Number of Stores,Partner-Operated Stores - Full Assortment,226,Partner-Operated Stores
A,Stores Sales Selling Square Footage,B,Stores,Sales per Average Selling Square Foot - Company-Operated Stores- Sales per Average Selling Square Foot,227,Sales per Average Selling Square Foot
A,Store Sales,B,Stores,Sales per Average Store - Company-Operated Stores - Sales per Average Store,228,Sales per Average Store
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Direct Revenue,229,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - International Revenue,230,Segment Revenue
Ai,Segment Stores Revenue,n,Number of Stores,Segment Revenue - Revenue from Stores of North America,231,Segment Revenue
Ai,Stores Closures,n,Number of Stores,Store Closures - Company-Operated Stores in  Greater China - Beauty & Accessories,232,Store Closures
Ai,Stores Closures,n,Number of Stores,Store Closures - Company-Operated Stores in Canada ,233,Store Closures
Ai,Stores Closures,n,Number of Stores,Store Closures - Company-Operated Stores in Greater China - Full Assortment ,234,Store Closures
Ai,Stores Closures,n,Number of Stores,Store Closures - Company-Operated Stores in U.S.,235,Store Closures
Ai,Stores Closures,n,Number of Stores,Store Closures - Partner-Operated Stores - Beauty & Accessories,236,Store Closures
Ai,Stores Closures,n,Number of Stores,Store Closures - Partner-Operated Stores - Full Assortment,237,Store Closures
A,Geographic Revenue,,,Revenue by geographic region - Australia,238,Revenue by geographic region
A,Geographic Revenue,,,Revenue by geographic region - Canada,239,Revenue by geographic region
A,Geographic Revenue,,,Revenue by geographic region - Europe,240,Revenue by geographic region
A,Geographic Revenue,,,Revenue by geographic region - United States,241,Revenue by geographic region
A,Segment Net Sales,B,Sales previous period,Segment Net Sales - Accessories and chemicals Sales,242,Segment Net Sales
A,Segment Net Sales,B,Sales previous period,Segment Net Sales - Accessories Sales,243,Segment Net Sales
A,Segment Net Sales,B,Sales previous period,Segment Net Sales - Chemicals Sales,244,Segment Net Sales
A,Segment Net Sales,B,Previous Period Sales,Segment Net Sales - Eliminations,245,Segment Net Sales
A,Segment Net Sales,B,Sales previous period,Segment Net Sales - Engine maintenance Sales,246,Segment Net Sales
A,Segment Net Sales,B,Previous Period Sales,Segment Net Sales - Guarantor Subsidiaries,247,Segment Net Sales
A,Segment Net Sales,B,Previous Period Sales,Segment Net Sales - Non-Guarantor Subsidiaries,248,Segment Net Sales
A,Segment Net Sales,B,Sales previous period,Segment Net Sales - Oil Sales,249,Segment Net Sales
A,Segment Net Sales,B,Sales previous period,Segment Net Sales - Other Sales,250,Segment Net Sales
A,Segment Net Sales,B,Sales previous period,Segment Net Sales - Parts and batteries Sales,251,Segment Net Sales
Ai,Stores Closures,n,Number of Stores,Stores and Branches - Closures or Consolidations,252,Stores and Branches
Ai,New Stores Openings,n,Number of Stores,Stores and Branches - New Openings,253,Stores and Branches
Ai,Total Stores,n,Number of Stores,Stores and Branches - Total Number,254,Stores and Branches
Ai,Average New Vehicle Selling Price,n,Number of New Vehicles Sold,Average selling price - New vehicle Average selling price,255,Average selling price
Ai,Average New Stores Vehicle Selling Price,n,Number of Stores,Average selling price - Same store New vehicle Average selling price,256,Average selling price
Ai,Average Stores Vehicle Selling Price,n,Number of Stores,Average selling price - Same store Used vehicle retail Average selling price,257,Average selling price
Ai,Average Vehicle Selling Price,n,Number of Used Vehicles Sold,Average selling price - Used vehicle retail Average selling price,258,Average selling price
Ai,New Stores Vehicle sold,n,Number of Stores,No. of New vehicle sold - Same store,259,No. of New vehicle sold
Ai,Total New Vehicle sold,n,Number of Stores,No. of New vehicle sold - Total Company,260,No. of New vehicle sold
Ai,Stores Vehicle sold,n,Number of Stores,No. of Used vehicle retail sold - Same store,261,No. of Used vehicle retail sold
Ai,Total Vehicle sold,n,Number of Stores,No. of Used vehicle retail sold - Total Company,262,No. of Used vehicle retail sold
A,Franchise,,,Number of Franchises,263,Number of Franchises
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Finance and insurance,264,Segment Revenue
Ai,Segment New Revenue,n,Number of Segments,Segment Revenue - New vehicle,265,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Parts and service,266,Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Segment Revenue - Used Vehicle,267,Segment Revenue
Ai,Segment New Revenue,n,Number of Segments,Sub Segment Revenue - Luxury - New vehicle,268,Sub Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Sub Segment Revenue - Retail - Used Vehicle,269,Sub Segment Revenue
Ai,Segment Revenue,n,Number of Segments,Sub Segment Revenue - Wholesale - Used Vehicle,270,Sub Segment Revenue
A,New vehicles,B,New Vehicle Volume previous period,Volume - New vehicle,271,Volume
A,Vehicle,B,Vehicle Volume previous period,Volume - Used vehicle retail,272,Volume
A,Net Revenue,,,"Revenue - Finance and insurance, net",273,Revenue
A,New Revenue,,,Revenue - New vehicle,274,Revenue
A,Revenue,,,Revenue - Other,275,Revenue
A,Revenue,,,Revenue - Parts and service,276,Revenue
A,Revenue,,,Revenue - Used vehicle,277,Revenue
A,Net Sales,B,Sales previous period,"Sales by Type - Finance and insurance, net Sales",278,Sales by Type
A,New Vehicle Sales,,,Sales by Type - New vehicle Sales,279,Sales by Type
A,Sales,,,Sales by Type - Other Sales,280,Sales by Type
A,Sales,,,Sales by Type - Parts and service Sales,281,Sales by Type
A,Used Vehicle Sales,,,Sales by Type - Used vehicle Sales,282,Sales by Type
