industry,kpi_name,kpi_id,kpi_category
Apparel Retailers,Segment Revenue by Channel - Outlet Revenue,71,Segment Revenue by Channel
Apparel Retailers,Segment Revenue by Channel - Retail Revenue,72,Segment Revenue by Channel
Apparel Retailers,Segment Revenue by Product - Accessories and other Revenue,73,Segment Revenue by Product
Apparel Retailers,Segment Revenue by Product - Apparel Revenue,74,Segment Revenue by Product
Apparel Retailers,Segment Revenue by Product - Other Product revenue,75,Segment Revenue by Product
Apparel Retailers,Segment Revenue - Corporate and Other Revenue,76,Segment Revenue
Apparel Retailers,Segment Revenue - Johnston & Murphy Group Revenue,77,Segment Revenue
Apparel Retailers,Segment Revenue - Journeys Group Revenue,78,Segment Revenue
Apparel Retailers,Segment Revenue - Licensed Brands Revenue,79,Segment Revenue
Apparel Retailers,Segment Revenue - Schuh Group Revenue,80,Segment Revenue
Apparel Retailers,Stores - Store Closed,81,Stores
Apparel Retailers,Stores - Total Stores,46,Stores
Apparel Retailers,Revenue by Geographic area - Canada,82,Revenue by Geographic area
Apparel Retailers,Revenue by Geographic area - Germany,83,Revenue by Geographic area
Apparel Retailers,Revenue by Geographic area - Italy,84,Revenue by Geographic area
Apparel Retailers,Revenue by Geographic area - Other foreign countries,85,Revenue by Geographic area
Apparel Retailers,Revenue by Geographic area - South Korea,86,Revenue by Geographic area
Apparel Retailers,Revenue by Geographic area - Spain,87,Revenue by Geographic area
Apparel Retailers,Revenue by Geographic area - U.S.,88,Revenue by Geographic area
Apparel Retailers,Revenue by Product - Net royalties ,89,Revenue by Product
Apparel Retailers,Revenue by Product - Product sales,90,Revenue by Product
Apparel Retailers,Segment Revenue - Americas Retail,91,Segment Revenue
Apparel Retailers,Segment Revenue - Americas Retail comp sales,92,Segment Revenue
Apparel Retailers,Segment Revenue - Americas Retail comp sales,92,Segment Revenue
Apparel Retailers,Segment Revenue - Americas Wholesale,93,Segment Revenue
Apparel Retailers,Segment Revenue - Americas Wholesale,93,Segment Revenue
Apparel Retailers,Segment Revenue - Asia,94,Segment Revenue
Apparel Retailers,Segment Revenue - Asia Retail comp sales,95,Segment Revenue
Apparel Retailers,Segment Revenue - Asia Retail comp sales,95,Segment Revenue
Apparel Retailers,Segment Revenue - Europe,96,Segment Revenue
Apparel Retailers,Segment Revenue - Europe Retail comp sales,97,Segment Revenue
Apparel Retailers,Segment Revenue - Europe Retail comp sales,97,Segment Revenue
Apparel Retailers,Segment Revenue - Licensing,98,Segment Revenue
Apparel Retailers,Segment Revenue - Licensing,98,Segment Revenue
Apparel Retailers,Sales by Brand - Athleta Sales,99,Sales by Brand
Apparel Retailers,Sales by Brand - Banana Republic Global Sales,100,Sales by Brand
Apparel Retailers,Sales by Brand - Gap Global,101,Sales by Brand
Apparel Retailers,Sales by Brand - Gap Global Sales,102,Sales by Brand
Apparel Retailers,Sales by Brand - Old Navy Global,103,Sales by Brand
Apparel Retailers,Sales by Brand - Old Navy Global Sales,104,Sales by Brand
Apparel Retailers,Sales by Brand - Other Sales,105,Sales by Brand
Apparel Retailers,Sales by Brand - Total net sales,106,Sales by Brand
Apparel Retailers,Sales by Geographic Region - Asia Sales,107,Sales by Geographic Region
Apparel Retailers,Sales by Geographic Region - Canada Sales,108,Sales by Geographic Region
Apparel Retailers,Sales by Geographic Region - Europe Sales,109,Sales by Geographic Region
Apparel Retailers,Sales by Geographic Region - Other Regions Sales,110,Sales by Geographic Region
Apparel Retailers,Sales by Geographic Region - Total net sales,111,Sales by Geographic Region
Apparel Retailers,Sales by Geographic Region - total sales ,112,Sales by Geographic Region
Apparel Retailers,Sales by Geographic Region - U.S. Sales,113,Sales by Geographic Region
Apparel Retailers,Segment Sales - Online sales,114,Segment Sales
Apparel Retailers,Segment Sales - Store sales,115,Segment Sales
Apparel Retailers,Segment Sales - Total net sales,116,Segment Sales
Apparel Retailers,Revenues by Category - Credit card revenues,117,Revenues by Category
Apparel Retailers,Sales - Anniversary Event Sales,118,Sales
Apparel Retailers,Sales - Digital Sales,119,Sales
Apparel Retailers,Segment Revenue - Nordstrom Rack Sales,120,Segment Revenue
Apparel Retailers,Segment Revenue - Nordstrom Sales,121,Segment Revenue
Apparel Retailers,Geographic revenues - Americas,122,Geographic revenues
Apparel Retailers,Geographic revenues - Asia,123,Geographic revenues
Apparel Retailers,Geographic revenues - Europe,124,Geographic revenues
Apparel Retailers,Segment Revenue by Channel - Direct-to-consumer from Americas,125,Segment Revenue by Channel
Apparel Retailers,Segment Revenue by Channel - Direct-to-consumer from Asia,126,Segment Revenue by Channel
Apparel Retailers,Segment Revenue by Channel - Direct-to-consumer from Europe,127,Segment Revenue by Channel
Apparel Retailers,Segment Revenue by Channel - Wholesale revenue from Americas,128,Segment Revenue by Channel
Apparel Retailers,Segment Revenue by Channel - Wholesale revenue from Asia,129,Segment Revenue by Channel
Apparel Retailers,Segment Revenue by Channel - Wholesale revenue from Europe,130,Segment Revenue by Channel
Apparel Retailers,Revenue by Segment - Digital Subscription and Content,131,Revenue by Segment
Apparel Retailers,Revenue by Segment - Direct-to-Consumer,132,Revenue by Segment
Apparel Retailers,Revenue by Segment - Licensing,133,Revenue by Segment
Apparel Retailers,Revenue by Segment - Other,134,Revenue by Segment
Apparel Retailers,Revenue by Type - Consumer Products,135,Revenue by Type
Apparel Retailers,Revenue by Type - Magazine and Digital Subscriptions,136,Revenue by Type
Apparel Retailers,Revenue by Type - Trademark Licensing,137,Revenue by Type
Apparel Retailers,Revenue by Type - TV and Cable Programming,138,Revenue by Type
Apparel Retailers,Geographic Revenue - International & Other Sales,139,Geographic Revenue
Apparel Retailers,Geographic Revenue - Mid-West Sales,140,Geographic Revenue
Apparel Retailers,Geographic Revenue - North East Sales,141,Geographic Revenue
Apparel Retailers,Geographic Revenue - South Sales,142,Geographic Revenue
Apparel Retailers,Geographic Revenue - West Sales,143,Geographic Revenue
Apparel Retailers,Segment Revenue - The Children's Place International,144,Segment Revenue
Apparel Retailers,Segment Revenue - The Children's Place U.S.,145,Segment Revenue
Apparel Retailers,Stores - Closed store count,146,Stores
Apparel Retailers,Stores - Total store count,147,Stores
Apparel Retailers,"sales mix - Accessories, Lingerie, Fine Jewelry, and Fragrances",148,sales mix
Apparel Retailers,sales mix - Children's,149,sales mix
Apparel Retailers,sales mix - Home Accents and Bed and Bath,150,sales mix
Apparel Retailers,sales mix - Ladies,151,sales mix
Apparel Retailers,sales mix - Men's,152,sales mix
Apparel Retailers,sales mix - Shoes,153,sales mix
Apparel Retailers,Store Count - Beginning of the period,154,Store Count
Apparel Retailers,Store Count - Closed in the period,155,Store Count
Apparel Retailers,Store Count - End of the period,156,Store Count
Apparel Retailers,Store Count - Opened in the period,157,Store Count
Apparel Retailers,Store count - Store count at end of period,158,Store count
Apparel Retailers,Geographic Sales - HomeGoods Sales From US,159,Geographic Sales
Apparel Retailers,Geographic Sales - Marmaxx Sales From US,160,Geographic Sales
Apparel Retailers,Geographic Sales - TJX Canada Sales,161,Geographic Sales
Apparel Retailers,Geographic Sales - TJX Europe,162,Geographic Sales
Apparel Retailers,Geographic Sales - TJX International Sales,163,Geographic Sales
Apparel Retailers,Geographic Sales  - TJX Canada Sales 	,164,Geographic Sales 
Apparel Retailers,Geographic Sales  - TJX International (Europe & Australia) Sales 	,165,Geographic Sales 
Apparel Retailers,Geographic Sales  - TJX International (Europe & Australia) Sales,166,Geographic Sales 
Apparel Retailers,Geographic Segment Sales  - HomeGoods (U.S.) Sales,167,Geographic Segment Sales 
Apparel Retailers,Geographic Segment Sales  - Marmaxx (U.S.) Sales,168,Geographic Segment Sales 
Apparel Retailers,Newly Opened Stores,169,Newly Opened Stores
Apparel Retailers,Store Count - Total Store Count,170,Store Count
Apparel Retailers,New Stores Opened - New Stores Opened During Quarter,171,New Stores Opened
Apparel Retailers,Segment Revenues - E-commerce,172,Segment Revenues
Apparel Retailers,Segment Revenues - Proprietary,173,Segment Revenues
Apparel Retailers,Segment Revenues - Proprietary,173,Segment Revenues
Apparel Retailers,Segment Revenues - Retail stores,174,Segment Revenues
Apparel Retailers,Segment Revenues - Third-party,175,Segment Revenues
Apparel Retailers,Segment Revenues - Third-party,175,Segment Revenues
Apparel Retailers,Stores Permanently Closed During Quarter,176,Stores Permanently Closed During Quarter
Apparel Retailers,Sub Segment Revenue by Category - Accessories,177,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Accessories,177,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Boys,178,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Boys,178,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Footwear,179,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Footwear,179,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Girls,180,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Girls,180,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Mens,181,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Mens,181,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Outdoor,182,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Outdoor,182,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Women,183,Sub Segment Revenue by Category
Apparel Retailers,Sub Segment Revenue by Category - Womens,184,Sub Segment Revenue by Category
Apparel Retailers,Total Gross Square Footage at End of Quarter,185,Total Gross Square Footage at End of Quarter
Apparel Retailers,Total Stores at End of Quarter,186,Total Stores at End of Quarter
Apparel Retailers,Customers - new customers,187,Customers
Apparel Retailers,Geographic Revenues - Greater China Revenues,188,Geographic Revenues
Apparel Retailers,Geographic Revenues - North America Revenues,189,Geographic Revenues
Apparel Retailers,Geographic Revenues - Other Asia Revenues,190,Geographic Revenues
Apparel Retailers,Geographic Revenues - Other Revenues,191,Geographic Revenues
Apparel Retailers,Geographic Revenues - Total,192,Geographic Revenues
Apparel Retailers,Segment Revenues - Coach Revenues,193,Segment Revenues
Apparel Retailers,Segment Revenues - Kate Spade Revenues,194,Segment Revenues
Apparel Retailers,Segment Revenues - Stuart Weitzman Revenues,195,Segment Revenues
Apparel Retailers,Segment Revenues - Total,196,Segment Revenues
Apparel Retailers,Net sales by brand - Anthropologie Group,197,Net sales by brand
Apparel Retailers,Net sales by brand - Free People Group,198,Net sales by brand
Apparel Retailers,Net sales by brand - Menus & Venues,199,Net sales by brand
Apparel Retailers,Net sales by brand - Nuuly,200,Net sales by brand
Apparel Retailers,Net sales by brand - Urban Outfitters,201,Net sales by brand
Apparel Retailers,Net sales by segment - Retail Segment,202,Net sales by segment
Apparel Retailers,Net sales by segment - Subscription Segment,203,Net sales by segment
Apparel Retailers,Net sales by segment - Wholesale Segment,204,Net sales by segment
Apparel Retailers,No. of New Stores Opened - New retail locations,205,No. of New Stores Opened
Apparel Retailers,Stores - Closed franchisee-owned stores,206,Stores
Apparel Retailers,Stores - Total closed retail stores,207,Stores
Apparel Retailers,Stores - Total new retail location stores,208,Stores
Apparel Retailers,Company-Operated Stores - Greater China - Beauty & Accessories,209,Company-Operated Stores
Apparel Retailers,Company-Operated Stores - Greater China - Full Assortment,210,Company-Operated Stores
Apparel Retailers,Company-Operated Stores - Stores in Canada,211,Company-Operated Stores
Apparel Retailers,Company-Operated Stores - Stores in U.S,212,Company-Operated Stores
Apparel Retailers,"New Store Openings - Company-Operated Stores in  Greater China - Beauty & Accessories
",213,New Store Openings
Apparel Retailers,New Store Openings - Company-Operated Stores in Canada ,214,New Store Openings
Apparel Retailers,New Store Openings - Company-Operated Stores in Greater China - Full Assortment ,215,New Store Openings
Apparel Retailers,New Store Openings - Company-Operated Stores in U.S.,216,New Store Openings
Apparel Retailers,New Store Openings - Partner-Operated Stores - Beauty & Accessories,217,New Store Openings
Apparel Retailers,New Store Openings - Partner-Operated Stores - Full Assortment,218,New Store Openings
Apparel Retailers,Number of Stores - Company-Operated Stores in  Greater China - Beauty & Accessories ,219,Number of Stores
Apparel Retailers,Number of Stores - Company-Operated Stores in Canada ,220,Number of Stores
Apparel Retailers,Number of Stores - Company-Operated Stores in Greater China - Full Assortment ,221,Number of Stores
Apparel Retailers,Number of Stores - Company-Operated Stores in U.S.,222,Number of Stores
Apparel Retailers,Number of Stores - Partner-Operated Stores - Beauty & Accessories,223,Number of Stores
Apparel Retailers,Number of Stores - Partner-Operated Stores - Full Assortment,224,Number of Stores
Apparel Retailers,Partner-Operated Stores - Beauty & Accessories ,225,Partner-Operated Stores
Apparel Retailers,Partner-Operated Stores - Full Assortment,226,Partner-Operated Stores
Apparel Retailers,Sales per Average Selling Square Foot - Company-Operated Stores- Sales per Average Selling Square Foot,227,Sales per Average Selling Square Foot
Apparel Retailers,Sales per Average Store - Company-Operated Stores - Sales per Average Store,228,Sales per Average Store
Apparel Retailers,Segment Revenue - Direct Revenue,229,Segment Revenue
Apparel Retailers,Segment Revenue - International Revenue,230,Segment Revenue
Apparel Retailers,Segment Revenue - Revenue from Stores of North America,231,Segment Revenue
Apparel Retailers,Store Closures - Company-Operated Stores in  Greater China - Beauty & Accessories,232,Store Closures
Apparel Retailers,Store Closures - Company-Operated Stores in Canada ,233,Store Closures
Apparel Retailers,Store Closures - Company-Operated Stores in Greater China - Full Assortment ,234,Store Closures
Apparel Retailers,Store Closures - Company-Operated Stores in U.S.,235,Store Closures
Apparel Retailers,Store Closures - Partner-Operated Stores - Beauty & Accessories,236,Store Closures
Apparel Retailers,Store Closures - Partner-Operated Stores - Full Assortment,237,Store Closures
Apparel Retailers,Revenue by geographic region - Australia,238,Revenue by geographic region
Apparel Retailers,Revenue by geographic region - Canada,239,Revenue by geographic region
Apparel Retailers,Revenue by geographic region - Europe,240,Revenue by geographic region
Apparel Retailers,Revenue by geographic region - United States,241,Revenue by geographic region
Automotive Retailers,Segment Net Sales - Accessories and chemicals Sales,242,Segment Net Sales
Automotive Retailers,Segment Net Sales - Accessories Sales,243,Segment Net Sales
Automotive Retailers,Segment Net Sales - Chemicals Sales,244,Segment Net Sales
Automotive Retailers,Segment Net Sales - Eliminations,245,Segment Net Sales
Automotive Retailers,Segment Net Sales - Engine maintenance Sales,246,Segment Net Sales
Automotive Retailers,Segment Net Sales - Guarantor Subsidiaries,247,Segment Net Sales
Automotive Retailers,Segment Net Sales - Non-Guarantor Subsidiaries,248,Segment Net Sales
Automotive Retailers,Segment Net Sales - Oil Sales,249,Segment Net Sales
Automotive Retailers,Segment Net Sales - Other Sales,250,Segment Net Sales
Automotive Retailers,Segment Net Sales - Parts and batteries Sales,251,Segment Net Sales
Automotive Retailers,Stores and Branches - Closures or Consolidations,252,Stores and Branches
Automotive Retailers,Stores and Branches - New Openings,253,Stores and Branches
Automotive Retailers,Stores and Branches - Total Number,254,Stores and Branches
Automotive Retailers,Average selling price - New vehicle Average selling price,255,Average selling price
Automotive Retailers,Average selling price - Same store New vehicle Average selling price,256,Average selling price
Automotive Retailers,Average selling price - Same store Used vehicle retail Average selling price,257,Average selling price
Automotive Retailers,Average selling price - Used vehicle retail Average selling price,258,Average selling price
Automotive Retailers,No. of New vehicle sold - Same store,259,No. of New vehicle sold
Automotive Retailers,No. of New vehicle sold - Total Company,260,No. of New vehicle sold
Automotive Retailers,No. of Used vehicle retail sold - Same store,261,No. of Used vehicle retail sold
Automotive Retailers,No. of Used vehicle retail sold - Total Company,262,No. of Used vehicle retail sold
Automotive Retailers,Number of Franchises,263,Number of Franchises
Automotive Retailers,Segment Revenue - Finance and insurance,264,Segment Revenue
Automotive Retailers,Segment Revenue - New vehicle,265,Segment Revenue
Automotive Retailers,Segment Revenue - Parts and service,266,Segment Revenue
Automotive Retailers,Segment Revenue - Used Vehicle,267,Segment Revenue
Automotive Retailers,Sub Segment Revenue - Luxury - New vehicle,268,Sub Segment Revenue
Automotive Retailers,Sub Segment Revenue - Retail - Used Vehicle,269,Sub Segment Revenue
Automotive Retailers,Sub Segment Revenue - Wholesale - Used Vehicle,270,Sub Segment Revenue
Automotive Retailers,Volume - New vehicle,271,Volume
Automotive Retailers,Volume - Used vehicle retail,272,Volume
Automotive Retailers,"Revenue - Finance and insurance, net",273,Revenue
Automotive Retailers,Revenue - New vehicle,274,Revenue
Automotive Retailers,Revenue - Other,275,Revenue
Automotive Retailers,Revenue - Parts and service,276,Revenue
Automotive Retailers,Revenue - Used vehicle,277,Revenue
Automotive Retailers,"Sales by Type - Finance and insurance, net Sales",278,Sales by Type
Automotive Retailers,Sales by Type - New vehicle Sales,279,Sales by Type
Automotive Retailers,Sales by Type - Other Sales,280,Sales by Type
Automotive Retailers,Sales by Type - Parts and service Sales,281,Sales by Type
Automotive Retailers,Sales by Type - Used vehicle Sales,282,Sales by Type
Automotive Retailers,Segment Revenues - Corporate and other,283,Segment Revenues
Automotive Retailers,Segment Revenues - Corporate and other Revenue,284,Segment Revenues
Automotive Retailers,Segment Revenues - Domestic,285,Segment Revenues
Automotive Retailers,Segment Revenues - Domestic Revenue,286,Segment Revenues
Automotive Retailers,Segment Revenues - Import,287,Segment Revenues
Automotive Retailers,Segment Revenues - Import Revenue,288,Segment Revenues
Automotive Retailers,Segment Revenues - Premium Luxury,289,Segment Revenues
Automotive Retailers,Segment Revenues - Premium Luxury Revenue,290,Segment Revenues
Automotive Retailers,Vehicles sold - Total Vehicles sold,291,Vehicles sold
Automotive Retailers,Vehicles sold - New vehicle,292,Vehicles sold
Automotive Retailers,Vehicles sold - Used vehicle,293,Vehicles sold
Automotive Retailers,Domestic Commercial Sales - Total Domestic Commercial Sales,294,Domestic Commercial Sales
Automotive Retailers,Sales per average store ,295,Sales per average store 
Automotive Retailers,Segment Sales - Auto Parts Locations,296,Segment Sales
Automotive Retailers,Segment Sales - Net Sales,297,Segment Sales
Automotive Retailers,Segment Sales - Other,298,Segment Sales
Automotive Retailers,Segment Sales - Total domestic commercial sales,299,Segment Sales
Automotive Retailers,Segment Sales  - Total auto parts sales,300,Segment Sales 
Automotive Retailers,Segment Stores - Ending Brazil stores,301,Segment Stores
Automotive Retailers,Segment Stores - Ending Domestic Stores,302,Segment Stores
Automotive Retailers,Segment Stores - Ending Mexico stores,303,Segment Stores
Automotive Retailers,Segment Stores - New Stores,304,Segment Stores
Automotive Retailers,Segment Stores - Total Stores,305,Segment Stores
Automotive Retailers,Geographic Segment Revenue - Service revenues from International,306,Geographic Segment Revenue
Automotive Retailers,Geographic Segment Revenue - Service revenues from United States,307,Geographic Segment Revenue
Automotive Retailers,Geographic Segment Revenue - Vehicle sales from International,308,Geographic Segment Revenue
Automotive Retailers,Geographic Segment Revenue - Vehicle sales from United States,309,Geographic Segment Revenue
Automotive Retailers,Revenue by Type - Service revenues,310,Revenue by Type
Automotive Retailers,Revenue by Type - Vehicle sales,311,Revenue by Type
Automotive Retailers,Segment Revenue - International Revenue,230,Segment Revenue
Automotive Retailers,Segment Revenue - Service revenues,312,Segment Revenue
Automotive Retailers,Segment Revenue - United States Revenue,313,Segment Revenue
Automotive Retailers,Segment Revenue - Vehicle sales,314,Segment Revenue
Automotive Retailers,Gross profit - Total gross profit per retail unit sold,315,Gross profit
Automotive Retailers,Price - Average Retail Sales Price ,316,Price
Automotive Retailers,Sales - Retail units sold ,317,Sales
Automotive Retailers,Sales - Unit Sales Volume,318,Sales
Automotive Retailers,Segment Revenue - Interest income Revenue,319,Segment Revenue
Automotive Retailers,Segment Revenue - Sales Revenue,320,Segment Revenue
Automotive Retailers,Sub-Segment Revenue - Accident protection plan revenue,321,Sub-Segment Revenue
Automotive Retailers,Sub-Segment Revenue - Sales Ã¢â‚¬â€œ used autos,322,Sub-Segment Revenue
Automotive Retailers,Sub-Segment Revenue - Service contract sales,323,Sub-Segment Revenue
Automotive Retailers,Sub-Segment Revenue - Wholesales third party,324,Sub-Segment Revenue
Automotive Retailers,Retail Units Sold - Cars,325,Retail Units Sold
Automotive Retailers,Retail Units Sold - Cars,325,Retail Units Sold
Automotive Retailers,Segment Revenue - Other sales and revenues,326,Segment Revenue
Automotive Retailers,"Segment Revenue - Used vehicle sales, net",327,Segment Revenue
Automotive Retailers,Segment Revenue - Wholesale vehicle sales,328,Segment Revenue
Automotive Retailers,Vehicles Purchased - % Increase Customers,329,Vehicles Purchased
Automotive Retailers,Average gross profit per unit - New vehicles,330,Average gross profit per unit
Automotive Retailers,Average gross profit per unit - Used vehicles,331,Average gross profit per unit
Automotive Retailers,Average selling price - New vehicles,332,Average selling price
Automotive Retailers,Average selling price - Used vehicles,333,Average selling price
Automotive Retailers,Customers - Active Customers,334,Customers
Automotive Retailers,Good Sam Club members,335,Good Sam Club members
Automotive Retailers,Number of store locations,336,Number of store locations
Automotive Retailers,Retail locations - Other retail stores,337,Retail locations
Automotive Retailers,Retail locations - RV dealerships,338,Retail locations
Automotive Retailers,Retail locations - RV service & retail centers,339,Retail locations
Automotive Retailers,Same store locations,340,Same store locations
Automotive Retailers,Same store unit sales - New vehicles,341,Same store unit sales
Automotive Retailers,Same store unit sales - Used vehicles,342,Same store unit sales
Automotive Retailers,Segment Revenue - Good Sam Services and Plans Revenue,343,Segment Revenue
Automotive Retailers,Segment Revenue - RV and Outdoor Retail Revenue,344,Segment Revenue
Automotive Retailers,Unit sales - New vehicles,345,Unit sales
Automotive Retailers,Unit sales - New vehicles sales,346,Unit sales
Automotive Retailers,Unit sales - Used vehicles	sales,347,Unit sales
Automotive Retailers,Unit sales - Used vehicles,348,Unit sales
Automotive Retailers,Vehicle inventory per location - New vehicle inventory per dealer location,349,Vehicle inventory per location
Automotive Retailers,Vehicle inventory per location - Used vehicle inventory per dealer location,350,Vehicle inventory per location
Automotive Retailers,Revenue by Type - Advertising contributions,351,Revenue by Type
Automotive Retailers,Revenue by Type - Company-operated store sales,352,Revenue by Type
Automotive Retailers,Revenue by Type - Franchise royalties and fees,353,Revenue by Type
Automotive Retailers,Revenue by Type - Independently-operated store sales,354,Revenue by Type
Automotive Retailers,Revenue by Type - Supply and other revenue,355,Revenue by Type
Automotive Retailers,Same-Store Sales - Car Wash,356,Same-Store Sales
Automotive Retailers,Same-Store Sales - Maintenance,357,Same-Store Sales
Automotive Retailers,"Same-Store Sales - Paint, Collision & Glass",358,Same-Store Sales
Automotive Retailers,Same-Store Sales - Platform Services,359,Same-Store Sales
Automotive Retailers,Segment Revenue - Car Wash,360,Segment Revenue
Automotive Retailers,Segment Revenue - Corporate / Other,361,Segment Revenue
