,Ticker,Company Name,Industry,kpi_name,kpi_category,kpi_unit,kpi output type,kpi_description,kpi_tags,kpi source,kpi calc type,kpi formula,var_b_type,var_a_name,var_b_type,var_b_name
75,EXPR,"EXPRESS, INC.",Apparel Retailers,Segment Revenue by Product - Apparel Revenue,Segment Revenue by Product,$,$,Currency value of Segment Revenue,"segment,  revenue,  product,  apparel,  revenue, expr, express, apparel retailers",EventVester,,A,A,Segment Revenue,, 
76,EXPR,"EXPRESS, INC.",Apparel Retailers,Segment Revenue by Product - Other Product revenue,Segment Revenue by Product,$,$,Currency value of Segment Revenue,"segment,  revenue,  product,  other_product,  revenue, expr, express, apparel retailers",EventVester,,A,A,Segment Revenue,, 
77,GCO,GENESCO INC,Apparel Retailers,Segment Revenue - Corporate and Other Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  corporate,  other,  revenue, gco, genesco , apparel retailers",EventVester,,A,A,Segment Revenue,, 
78,GCO,GENESCO INC,Apparel Retailers,Segment Revenue - Johnston & Murphy Group Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  johnston,  murphy,  revenue, gco, genesco , apparel retailers",EventVester,,A,A,Segment Revenue,, 
79,GCO,GENESCO INC,Apparel Retailers,Segment Revenue - Journeys Group Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  journeys,  revenue, gco, genesco , apparel retailers",EventVester,,A,A,Segment Revenue,, 
80,GCO,GENESCO INC,Apparel Retailers,Segment Revenue - Licensed Brands Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  licensed_br,  s,  revenue, gco, genesco , apparel retailers",EventVester,,A,A,Segment Revenue,, 
81,GCO,GENESCO INC,Apparel Retailers,Segment Revenue - Schuh Group Revenue,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  schuh,  group_revenue, gco, genesco , apparel retailers",EventVester,,A,A,Segment Revenue,, 
82,GCO,GENESCO INC,Apparel Retailers,Stores - Store Closed,Stores,stores,$,Currency value of Store,"stores,  stores,  closed, gco, genesco , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Stores,n,Number of Stores
83,GCO,GENESCO INC,Apparel Retailers,Stores - Total Stores,Stores,stores,$,Currency value of Total Store,"stores,  total,  stores, gco, genesco , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Total Stores,n,Number of Stores
84,GES,GUESS INC,Apparel Retailers,Revenue by Geographic area - Canada,Revenue by Geographic area,$,$,Currency value of Geographic Revenue,"revenue,  geographic_area,  canada, ges, guess , apparel retailers",EventVester,,A,A,Geographic Revenue,, 
85,GES,GUESS INC,Apparel Retailers,Revenue by Geographic area - Germany,Revenue by Geographic area,$,$,Currency value of Geographic Revenue,"revenue,  geographic_area,  germany, ges, guess , apparel retailers",EventVester,,A,A,Geographic Revenue,, 
86,GES,GUESS INC,Apparel Retailers,Revenue by Geographic area - Italy,Revenue by Geographic area,$,$,Currency value of Geographic Revenue,"revenue,  geographic_area,  italy, ges, guess , apparel retailers",EventVester,,A,A,Geographic Revenue,, 
87,GES,GUESS INC,Apparel Retailers,Revenue by Geographic area - Other foreign countries,Revenue by Geographic area,$,$,Currency value of Geographic Count Revenue,"revenue,  geographic_area,  other_foreign_countries, ges, guess , apparel retailers",EventVester,,A,A,Geographic Count Revenue,, 
88,GES,GUESS INC,Apparel Retailers,Revenue by Geographic area - South Korea,Revenue by Geographic area,$,$,Currency value of Geographic Revenue,"revenue,  geographic_area,  south_korea, ges, guess , apparel retailers",EventVester,,A,A,Geographic Revenue,, 
89,GES,GUESS INC,Apparel Retailers,Revenue by Geographic area - Spain,Revenue by Geographic area,$,$,Currency value of Geographic Revenue,"revenue,  geographic_area,  spain, ges, guess , apparel retailers",EventVester,,A,A,Geographic Revenue,, 
90,GES,GUESS INC,Apparel Retailers,Revenue by Geographic area - U.S.,Revenue by Geographic area,$,$,Currency value of Geographic Revenue,"revenue,  geographic_area,  us, ges, guess , apparel retailers",EventVester,,A,A,Geographic Revenue,, 
91,GES,GUESS INC,Apparel Retailers,Revenue by Product - Net royalties ,Revenue by Product,$,$,Currency value of Net Revenue,"revenue,  product,  net_royalties, ges, guess , apparel retailers",EventVester,,A,A,Net Revenue,B, Revenue previous period
92,GES,GUESS INC,Apparel Retailers,Revenue by Product - Product sales,Revenue by Product,$,$,Currency value of Sales Revenue,"revenue,  product,  product_sales, ges, guess , apparel retailers",EventVester,,A,A,Sales Revenue,, 
93,GES,GUESS INC,Apparel Retailers,Segment Revenue - Americas Retail,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  americas_retail, ges, guess , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
94,GES,GUESS INC,Apparel Retailers,Segment Revenue - Americas Retail comp sales,Segment Revenue,% decrease yoy,%,Percentage of Segment Sales Revenue,"segment,  revenue,  americas_retail,  comp_sales, ges, guess , apparel retailers",EventVester,,(A-B)/A,A,Segment Sales Revenue,B, Segments
95,GES,GUESS INC,Apparel Retailers,Segment Revenue - Americas Retail comp sales,Segment Revenue,% increase yoy,%,Percentage of Segment Sales Revenue,"segment,  revenue,  americas_retail,  comp_sales, ges, guess , apparel retailers",EventVester,,(A-B)/A,A,Segment Sales Revenue,B, Segments
96,GES,GUESS INC,Apparel Retailers,Segment Revenue - Americas Wholesale,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  americas,  wholesale, ges, guess , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
97,GES,GUESS INC,Apparel Retailers,Segment Revenue - Americas Wholesale,Segment Revenue,% increase yoy,%,Percentage of Segment Revenue,"segment,  revenue,  americas,  wholesale, ges, guess , apparel retailers",EventVester,,(A-B)/A,A,Segment Revenue,B, Segments
98,GES,GUESS INC,Apparel Retailers,Segment Revenue - Asia,Segment Revenue,$,$,Currency value of Segment Revenue,"segment,  revenue,  asia, ges, guess , apparel retailers",EventVester,,"SUM(A1,A2,…,An)",Ai,Segment Revenue,n,Number of Segments
99,GES,GUESS INC,Apparel Retailers,Segment Revenue - Asia Retail comp sales,Segment Revenue,% decrease yoy,%,Percentage of Segment Sales Revenue,"segment,  revenue,  asia,  retail,  comp_sales, ges, guess , apparel retailers",EventVester,,(A-B)/A,A,Segment Sales Revenue,B, Segments
100,GES,GUESS INC,Apparel Retailers,Segment Revenue - Asia Retail comp sales,Segment Revenue,% increase yoy,%,Percentage of Segment Sales Revenue,"segment,  revenue,  asia,  retail,  comp_sales, ges, guess , apparel retailers",EventVester,,(A-B)/A,A,Segment Sales Revenue,B, Segments
