Ticker,Company Name,Industry,KPI Category,KPI Name,KPI Units
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Geographic Region,Asia Sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Geographic Region,Canada Sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Geographic Region,Europe Sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Geographic Region,Other Regions Sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Geographic Region,Total net sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Geographic Region,total sales ,$M
GPS,"THE GAP, INC.",Apparel Retailers,Sales by Geographic Region,U.S. Sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Segment Sales,Online sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Segment Sales,Store sales,$M
GPS,"THE GAP, INC.",Apparel Retailers,Segment Sales,Total net sales,$M
JWN,"NORDSTROM, INC.",Apparel Retailers,Revenues by Category,Credit card revenues,$M
JWN,"NORDSTROM, INC.",Apparel Retailers,Sales,Anniversary Event Sales,%
JWN,"NORDSTROM, INC.",Apparel Retailers,Sales,Digital Sales,%
JWN,"NORDSTROM, INC.",Apparel Retailers,Segment Revenue,Nordstrom Rack Sales,$M
JWN,"NORDSTROM, INC.",Apparel Retailers,Segment Revenue,Nordstrom Sales,$M
LEVI,Levi Strauss & Co.,Apparel Retailers,Geographic revenues,Americas,$M
LEVI,Levi Strauss & Co.,Apparel Retailers,Geographic revenues,Asia,$M
LEVI,Levi Strauss & Co.,Apparel Retailers,Geographic revenues,Europe,$M
LEVI,Levi Strauss & Co.,Apparel Retailers,Segment Revenue by Channel,Direct-to-consumer from Americas,$M
LEVI,Levi Strauss & Co.,Apparel Retailers,Segment Revenue by Channel,Direct-to-consumer from Asia,$M
LEVI,Levi Strauss & Co.,Apparel Retailers,Segment Revenue by Channel,Direct-to-consumer from Europe,$M
LEVI,Levi Strauss & Co.,Apparel Retailers,Segment Revenue by Channel,Wholesale revenue from Americas,$M
LEVI,Levi Strauss & Co.,Apparel Retailers,Segment Revenue by Channel,Wholesale revenue from Asia,$M
LEVI,Levi Strauss & Co.,Apparel Retailers,Segment Revenue by Channel,Wholesale revenue from Europe,$M
PLBY,PLBY Group Inc,Apparel Retailers,Revenue by Segment,Digital Subscription and Content,$M
PLBY,PLBY Group Inc,Apparel Retailers,Revenue by Segment,Direct-to-Consumer,$M
PLBY,PLBY Group Inc,Apparel Retailers,Revenue by Segment,Licensing,$M
PLBY,PLBY Group Inc,Apparel Retailers,Revenue by Segment,Other,$M
PLBY,PLBY Group Inc,Apparel Retailers,Revenue by Type,Consumer Products,$M
PLBY,PLBY Group Inc,Apparel Retailers,Revenue by Type,Magazine and Digital Subscriptions,$M
PLBY,PLBY Group Inc,Apparel Retailers,Revenue by Type,Trademark Licensing,$M
PLBY,PLBY Group Inc,Apparel Retailers,Revenue by Type,TV and Cable Programming,$M
PLCE,"THE CHILDREN'S PLACE, INC.",Apparel Retailers,Geographic Revenue,International & Other Sales,$M
PLCE,"THE CHILDREN'S PLACE, INC.",Apparel Retailers,Geographic Revenue,Mid-West Sales,$M
PLCE,"THE CHILDREN'S PLACE, INC.",Apparel Retailers,Geographic Revenue,North East Sales,$M
PLCE,"THE CHILDREN'S PLACE, INC.",Apparel Retailers,Geographic Revenue,South Sales,$M
PLCE,"THE CHILDREN'S PLACE, INC.",Apparel Retailers,Geographic Revenue,West Sales,$M
PLCE,"THE CHILDREN'S PLACE, INC.",Apparel Retailers,Segment Revenue,The Children's Place International,$M
PLCE,"THE CHILDREN'S PLACE, INC.",Apparel Retailers,Segment Revenue,The Children's Place U.S.,$M
PLCE,"THE CHILDREN'S PLACE, INC.",Apparel Retailers,Stores,Closed store count,No
PLCE,"THE CHILDREN'S PLACE, INC.",Apparel Retailers,Stores,Total store count,Stores
ROST,Ross Stores Inc,Apparel Retailers,sales mix,"Accessories, Lingerie, Fine Jewelry, and Fragrances",%
ROST,Ross Stores Inc,Apparel Retailers,sales mix,Children's,%
ROST,Ross Stores Inc,Apparel Retailers,sales mix,Home Accents and Bed and Bath,%
ROST,Ross Stores Inc,Apparel Retailers,sales mix,Ladies,%
ROST,Ross Stores Inc,Apparel Retailers,sales mix,Men's,%
ROST,Ross Stores Inc,Apparel Retailers,sales mix,Shoes,%
ROST,Ross Stores Inc,Apparel Retailers,Store Count,Beginning of the period,Units
ROST,Ross Stores Inc,Apparel Retailers,Store Count,Closed in the period,Units
ROST,Ross Stores Inc,Apparel Retailers,Store Count,End of the period,Units
ROST,Ross Stores Inc,Apparel Retailers,Store Count,Opened in the period,Units
ROST,Ross Stores Inc,Apparel Retailers,Store count,Store count at end of period,No
TJX,"The TJX Companies, Inc.",Apparel Retailers,Geographic Sales,HomeGoods Sales From US,$M
TJX,"The TJX Companies, Inc.",Apparel Retailers,Geographic Sales,Marmaxx Sales From US,$M
TJX,"The TJX Companies, Inc.",Apparel Retailers,Geographic Sales,TJX Canada Sales,$M
TJX,"The TJX Companies, Inc.",Apparel Retailers,Geographic Sales,TJX Europe,$M
TJX,"The TJX Companies, Inc.",Apparel Retailers,Geographic Sales,TJX International Sales,$M
TJX,"The TJX Companies, Inc.",Apparel Retailers,Geographic Sales ,"TJX Canada Sales 	",$M
TJX,"The TJX Companies, Inc.",Apparel Retailers,Geographic Sales ,"TJX International (Europe & Australia) Sales 	",$M
TJX,"The TJX Companies, Inc.",Apparel Retailers,Geographic Sales ,TJX International (Europe & Australia) Sales,$M
TJX,"The TJX Companies, Inc.",Apparel Retailers,Geographic Segment Sales ,HomeGoods (U.S.) Sales,$M
TJX,"The TJX Companies, Inc.",Apparel Retailers,Geographic Segment Sales ,Marmaxx (U.S.) Sales,$M
TJX,"The TJX Companies, Inc.",Apparel Retailers,Newly Opened Stores,Newly Opened Stores,Units
TJX,"The TJX Companies, Inc.",Apparel Retailers,Store Count,Total Store Count,Units
TLYS,"TILLY'S, INC.",Apparel Retailers,New Stores Opened,New Stores Opened During Quarter,Stores
TLYS,"TILLY'S, INC.",Apparel Retailers,Segment Revenues,E-commerce,$M
TLYS,"TILLY'S, INC.",Apparel Retailers,Segment Revenues,Proprietary,$M
TLYS,"TILLY'S, INC.",Apparel Retailers,Segment Revenues,Proprietary,%
TLYS,"TILLY'S, INC.",Apparel Retailers,Segment Revenues,Retail stores,$M
TLYS,"TILLY'S, INC.",Apparel Retailers,Segment Revenues,Third-party,$M
TLYS,"TILLY'S, INC.",Apparel Retailers,Segment Revenues,Third-party,%
TLYS,"TILLY'S, INC.",Apparel Retailers,Stores Permanently Closed During Quarter,Stores Permanently Closed During Quarter,Stores
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Accessories,$M
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Accessories,%
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Boys,$M
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Boys,%
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Footwear,$M
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Footwear,%
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Girls,$M
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Girls,%
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Mens,$M
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Mens,%
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Outdoor,$M
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Outdoor,%
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Women,$M
TLYS,"TILLY'S, INC.",Apparel Retailers,Sub Segment Revenue by Category,Womens,%
TLYS,"TILLY'S, INC.",Apparel Retailers,Total Gross Square Footage at End of Quarter,Total Gross Square Footage at End of Quarter,Msft
TLYS,"TILLY'S, INC.",Apparel Retailers,Total Stores at End of Quarter,Total Stores at End of Quarter,Stores
TPR,"TAPESTRY, INC.",Apparel Retailers,Customers,new customers,M
TPR,"TAPESTRY, INC.",Apparel Retailers,Geographic Revenues,Greater China Revenues,$M
TPR,"TAPESTRY, INC.",Apparel Retailers,Geographic Revenues,North America Revenues,$M
TPR,"TAPESTRY, INC.",Apparel Retailers,Geographic Revenues,Other Asia Revenues,$M
TPR,"TAPESTRY, INC.",Apparel Retailers,Geographic Revenues,Other Revenues,$M
TPR,"TAPESTRY, INC.",Apparel Retailers,Geographic Revenues,Total,$M
TPR,"TAPESTRY, INC.",Apparel Retailers,Segment Revenues,Coach Revenues,$M
TPR,"TAPESTRY, INC.",Apparel Retailers,Segment Revenues,Kate Spade Revenues,$M
TPR,"TAPESTRY, INC.",Apparel Retailers,Segment Revenues,Stuart Weitzman Revenues,$M
TPR,"TAPESTRY, INC.",Apparel Retailers,Segment Revenues,Total,$M
URBN,"URBAN OUTFITTERS, INC.",Apparel Retailers,Net sales by brand,Anthropologie Group,$M
URBN,"URBAN OUTFITTERS, INC.",Apparel Retailers,Net sales by brand,Free People Group,$M
URBN,"URBAN OUTFITTERS, INC.",Apparel Retailers,Net sales by brand,Menus & Venues,$M
URBN,"URBAN OUTFITTERS, INC.",Apparel Retailers,Net sales by brand,Nuuly,$M
URBN,"URBAN OUTFITTERS, INC.",Apparel Retailers,Net sales by brand,Urban Outfitters,$M
URBN,"URBAN OUTFITTERS, INC.",Apparel Retailers,Net sales by segment,Retail Segment,$M
URBN,"URBAN OUTFITTERS, INC.",Apparel Retailers,Net sales by segment,Subscription Segment,$M
URBN,"URBAN OUTFITTERS, INC.",Apparel Retailers,Net sales by segment,Wholesale Segment,$M
URBN,"URBAN OUTFITTERS, INC.",Apparel Retailers,No. of New Stores Opened,New retail locations,Stores
URBN,"URBAN OUTFITTERS, INC.",Apparel Retailers,Stores,Closed franchisee-owned stores,stores
URBN,"URBAN OUTFITTERS, INC.",Apparel Retailers,Stores,Total closed retail stores,stores
URBN,"URBAN OUTFITTERS, INC.",Apparel Retailers,Stores,Total new retail location stores,stores
VSCO,Victoria`s Secret & Co,Apparel Retailers,Company-Operated Stores,Greater China - Beauty & Accessories,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Company-Operated Stores,Greater China - Full Assortment,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Company-Operated Stores,Stores in Canada,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Company-Operated Stores,Stores in U.S,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,New Store Openings,"Company-Operated Stores in  Greater China - Beauty & Accessories
",Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,New Store Openings,Company-Operated Stores in Canada ,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,New Store Openings,Company-Operated Stores in Greater China - Full Assortment ,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,New Store Openings,Company-Operated Stores in U.S.,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,New Store Openings,Partner-Operated Stores - Beauty & Accessories,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,New Store Openings,Partner-Operated Stores - Full Assortment,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Number of Stores,Company-Operated Stores in  Greater China - Beauty & Accessories ,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Number of Stores,Company-Operated Stores in Canada ,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Number of Stores,Company-Operated Stores in Greater China - Full Assortment ,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Number of Stores,Company-Operated Stores in U.S.,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Number of Stores,Partner-Operated Stores - Beauty & Accessories,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Number of Stores,Partner-Operated Stores - Full Assortment,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Partner-Operated Stores,Beauty & Accessories ,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Partner-Operated Stores,Full Assortment,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Sales per Average Selling Square Foot,Company-Operated Stores- Sales per Average Selling Square Foot,$
VSCO,Victoria`s Secret & Co,Apparel Retailers,Sales per Average Store,Company-Operated Stores - Sales per Average Store,$M
VSCO,Victoria`s Secret & Co,Apparel Retailers,Segment Revenue,Direct Revenue,$M
VSCO,Victoria`s Secret & Co,Apparel Retailers,Segment Revenue,International Revenue,$M
VSCO,Victoria`s Secret & Co,Apparel Retailers,Segment Revenue,Revenue from Stores of North America,$M
VSCO,Victoria`s Secret & Co,Apparel Retailers,Store Closures,Company-Operated Stores in  Greater China - Beauty & Accessories,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Store Closures,Company-Operated Stores in Canada ,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Store Closures,Company-Operated Stores in Greater China - Full Assortment ,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Store Closures,Company-Operated Stores in U.S.,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Store Closures,Partner-Operated Stores - Beauty & Accessories,Units
VSCO,Victoria`s Secret & Co,Apparel Retailers,Store Closures,Partner-Operated Stores - Full Assortment,Units
ZUMZ,Zumiez Inc,Apparel Retailers,Revenue by geographic region,Australia,$M
ZUMZ,Zumiez Inc,Apparel Retailers,Revenue by geographic region,Canada,$M
ZUMZ,Zumiez Inc,Apparel Retailers,Revenue by geographic region,Europe,$M
ZUMZ,Zumiez Inc,Apparel Retailers,Revenue by geographic region,United States,$M
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Segment Net Sales,Accessories and chemicals Sales,% of Net sales
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Segment Net Sales,Accessories Sales,% of Net sales
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Segment Net Sales,Chemicals Sales,% of Net sales
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Segment Net Sales,Eliminations,$M
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Segment Net Sales,Engine maintenance Sales,% of Net sales
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Segment Net Sales,Guarantor Subsidiaries,$M
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Segment Net Sales,Non-Guarantor Subsidiaries,$M
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Segment Net Sales,Oil Sales,% of Net sales
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Segment Net Sales,Other Sales,% of Net sales
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Segment Net Sales,Parts and batteries Sales,% of Net sales
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Stores and Branches,Closures or Consolidations,Units
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Stores and Branches,New Openings,Units
AAP,"ADVANCE AUTO PARTS, INC.",Automotive Retailers,Stores and Branches,Total Number,Units
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Average selling price,New vehicle Average selling price,$
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Average selling price,Same store New vehicle Average selling price,$
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Average selling price,Same store Used vehicle retail Average selling price,$
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Average selling price,Used vehicle retail Average selling price,$
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,No. of New vehicle sold,Same store,Units
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,No. of New vehicle sold,Total Company,Units
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,No. of Used vehicle retail sold,Same store,Units
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,No. of Used vehicle retail sold,Total Company,Units
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Number of Franchises,Number of Franchises,units
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Segment Revenue,Finance and insurance,$M
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Segment Revenue,New vehicle,$M
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Segment Revenue,Parts and service,$M
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Segment Revenue,Used Vehicle,$M
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Sub Segment Revenue,Luxury - New vehicle,$M
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Sub Segment Revenue,Retail - Used Vehicle,$M
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Sub Segment Revenue,Wholesale - Used Vehicle,$M
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Volume,New vehicle,% increase
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Retailers,Volume,Used vehicle retail,% increase
AN,"AutoNation, Inc.",Automotive Retailers,Revenue,"Finance and insurance, net",$M
AN,"AutoNation, Inc.",Automotive Retailers,Revenue,New vehicle,$M
